Study Name	Tungsten_Kyocera
Sample Name	2024-02-05
Run Name	spot03
Operator	Angus+Samantha
Date	2/5/2024
Time	16:26
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	78
dt	50.000001E-12
time stamp (ms)	5:47:03 PM
	
Time	Amplitude
0.000000E+0	3.255256E-5
5.000000E-11	1.267645E-4
1.000000E-10	2.535224E-4
1.500000E-10	3.991228E-4
2.000000E-10	5.567138E-4
2.500000E-10	7.365732E-4
3.000000E-10	9.215715E-4
3.500000E-10	1.098005E-3
4.000000E-10	1.255596E-3
4.500000E-10	1.372077E-3
5.000000E-10	1.461150E-3
5.500000E-10	1.536520E-3
6.000000E-10	1.581057E-3
6.500000E-10	1.579344E-3
7.000000E-10	1.562214E-3
7.500000E-10	1.502261E-3
8.000000E-10	1.370364E-3
8.500000E-10	1.216199E-3
9.000000E-10	1.096292E-3
9.500000E-10	9.900894E-4
1.000000E-9	8.684701E-4
1.050000E-9	7.725450E-4
1.100000E-9	7.211566E-4
1.150000E-9	6.851848E-4
1.200000E-9	6.612035E-4
1.250000E-9	6.749071E-4
1.300000E-9	7.228698E-4
1.350000E-9	7.811101E-4
1.400000E-9	8.684705E-4
1.450000E-9	9.695345E-4
1.500000E-9	1.043191E-3
1.550000E-9	1.087728E-3
1.600000E-9	1.099719E-3
1.650000E-9	1.070598E-3
1.700000E-9	1.041478E-3
1.750000E-9	1.031200E-3
1.800000E-9	9.952285E-4
1.850000E-9	9.352753E-4
1.900000E-9	9.130070E-4
1.950000E-9	9.112940E-4
2.000000E-9	8.667573E-4
2.050000E-9	8.153689E-4
2.100000E-9	8.033782E-4
2.150000E-9	7.931005E-4
2.200000E-9	7.519899E-4
2.250000E-9	6.988886E-4
2.300000E-9	6.406485E-4
2.350000E-9	5.721307E-4
2.400000E-9	5.018999E-4
2.450000E-9	4.385210E-4
2.500000E-9	3.871326E-4
2.550000E-9	3.494477E-4
