Study Name	Tungsten_Kyocera
Sample Name	2024-02-05
Run Name	spot03
Operator	Angus+Samantha
Date	2/5/2024
Time	16:26
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	244
dt	50.000001E-12
time stamp (ms)	8:39:37 PM
	
Time	Amplitude
0.000000E+0	1.250495E-4
5.000000E-11	8.222577E-5
1.000000E-10	3.597620E-5
1.500000E-10	1.717318E-6
2.000000E-10	-8.560262E-6
2.500000E-10	2.741170E-5
3.000000E-10	8.393905E-5
3.500000E-10	1.473183E-4
4.000000E-10	2.466693E-4
4.500000E-10	3.854181E-4
5.000000E-10	4.967598E-4
5.500000E-10	5.601388E-4
6.000000E-10	6.063883E-4
6.500000E-10	6.149530E-4
7.000000E-10	5.601386E-4
7.500000E-10	4.933336E-4
8.000000E-10	4.522227E-4
8.500000E-10	3.956954E-4
9.000000E-10	3.066221E-4
9.500000E-10	2.244007E-4
1.000000E-9	1.935677E-4
1.050000E-9	1.884290E-4
1.100000E-9	1.867162E-4
1.150000E-9	2.141235E-4
1.200000E-9	2.757898E-4
1.250000E-9	3.614374E-4
1.300000E-9	4.419461E-4
1.350000E-9	5.104641E-4
1.400000E-9	5.789820E-4
1.450000E-9	6.423609E-4
1.500000E-9	6.731938E-4
1.550000E-9	6.577771E-4
1.600000E-9	6.269438E-4
1.650000E-9	5.961105E-4
1.700000E-9	5.584254E-4
1.750000E-9	4.967590E-4
1.800000E-9	4.145373E-4
1.850000E-9	3.220380E-4
1.900000E-9	2.226870E-4
1.950000E-9	1.267619E-4
2.000000E-9	3.597562E-5
2.050000E-9	-3.939407E-5
2.100000E-9	-1.044860E-4
2.150000E-9	-1.593003E-4
2.200000E-9	-1.901334E-4
2.250000E-9	-1.867075E-4
2.300000E-9	-1.747169E-4
2.350000E-9	-1.507356E-4
2.400000E-9	-9.934719E-5
2.450000E-9	-2.055165E-5
2.500000E-9	6.166981E-5
2.550000E-9	1.336136E-4
