Study Name	Tungsten_Kyocera
Sample Name	2024-02-05
Run Name	spot03
Operator	Angus+Samantha
Date	2/5/2024
Time	16:26
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	135
dt	50.000001E-12
time stamp (ms)	6:46:17 PM
	
Time	Amplitude
0.000000E+0	8.324998E-4
5.000000E-11	7.348619E-4
1.000000E-10	6.577792E-4
1.500000E-10	6.166685E-4
2.000000E-10	5.926872E-4
2.500000E-10	5.806966E-4
3.000000E-10	6.286590E-4
3.500000E-10	7.280099E-4
4.000000E-10	8.050925E-4
4.500000E-10	8.753234E-4
5.000000E-10	9.609708E-4
5.500000E-10	1.046618E-3
6.000000E-10	1.125414E-3
6.500000E-10	1.214487E-3
7.000000E-10	1.289857E-3
7.500000E-10	1.336107E-3
8.000000E-10	1.373791E-3
8.500000E-10	1.396060E-3
9.000000E-10	1.384069E-3
9.500000E-10	1.351523E-3
1.000000E-9	1.324116E-3
1.050000E-9	1.294995E-3
1.100000E-9	1.288143E-3
1.150000E-9	1.318976E-3
1.200000E-9	1.373790E-3
1.250000E-9	1.435456E-3
1.300000E-9	1.490270E-3
1.350000E-9	1.543372E-3
1.400000E-9	1.579344E-3
1.450000E-9	1.620455E-3
1.500000E-9	1.651288E-3
1.550000E-9	1.641010E-3
1.600000E-9	1.579344E-3
1.650000E-9	1.498836E-3
1.700000E-9	1.418327E-3
1.750000E-9	1.337819E-3
1.800000E-9	1.229903E-3
1.850000E-9	1.091154E-3
1.900000E-9	9.489796E-4
1.950000E-9	8.444896E-4
2.000000E-9	7.862493E-4
2.050000E-9	7.502772E-4
2.100000E-9	7.108794E-4
2.150000E-9	6.817593E-4
2.200000E-9	6.646300E-4
2.250000E-9	6.389360E-4
2.300000E-9	6.166680E-4
2.350000E-9	6.063907E-4
2.400000E-9	5.892616E-4
2.450000E-9	5.755583E-4
2.500000E-9	6.012527E-4
2.550000E-9	6.560671E-4
