Study Name	Tungsten_Kyocera
Sample Name	2024-02-05
Run Name	spot00
Operator	Angus+Samantha
Date	2/5/2024
Time	15:26
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	8
dt	50.000001E-12
time stamp (ms)	3:34:50 PM
	
Time	Amplitude
0.000000E+0	-2.134343E-3
5.000000E-11	-1.964761E-3
1.000000E-10	-1.877401E-3
1.500000E-10	-1.879114E-3
2.000000E-10	-1.930502E-3
2.500000E-10	-1.992169E-3
3.000000E-10	-2.048696E-3
3.500000E-10	-2.082955E-3
4.000000E-10	-2.137769E-3
4.500000E-10	-2.218278E-3
5.000000E-10	-2.291935E-3
5.500000E-10	-2.348462E-3
6.000000E-10	-2.415267E-3
6.500000E-10	-2.507767E-3
7.000000E-10	-2.605405E-3
7.500000E-10	-2.715034E-3
8.000000E-10	-2.838366E-3
8.500000E-10	-2.959985E-3
9.000000E-10	-3.059336E-3
9.500000E-10	-3.136419E-3
1.000000E-9	-3.179243E-3
1.050000E-9	-3.189521E-3
1.100000E-9	-3.191234E-3
1.150000E-9	-3.182669E-3
1.200000E-9	-3.148410E-3
1.250000E-9	-3.114151E-3
1.300000E-9	-3.085031E-3
1.350000E-9	-3.023365E-3
1.400000E-9	-2.934291E-3
1.450000E-9	-2.860634E-3
1.500000E-9	-2.800681E-3
1.550000E-9	-2.759570E-3
1.600000E-9	-2.764709E-3
1.650000E-9	-2.771561E-3
1.700000E-9	-2.757857E-3
1.750000E-9	-2.800681E-3
1.800000E-9	-2.886329E-3
1.850000E-9	-2.920588E-3
1.900000E-9	-2.876051E-3
1.950000E-9	-2.819523E-3
2.000000E-9	-2.759570E-3
2.050000E-9	-2.673923E-3
2.100000E-9	-2.610544E-3
2.150000E-9	-2.566007E-3
2.200000E-9	-2.526609E-3
2.250000E-9	-2.502628E-3
2.300000E-9	-2.535174E-3
2.350000E-9	-2.576285E-3
2.400000E-9	-2.601979E-3
2.450000E-9	-2.615682E-3
2.500000E-9	-2.620821E-3
2.550000E-9	-2.625960E-3
2.600000E-9	-2.641377E-3
2.650000E-9	-2.675636E-3
2.700000E-9	-2.720172E-3
2.750000E-9	-2.733876E-3
2.800000E-9	-2.699617E-3
2.850000E-9	-2.625960E-3
2.900000E-9	-2.531748E-3
2.950000E-9	-2.413554E-3
3.000000E-9	-2.283370E-3
3.050000E-9	-2.178880E-3
3.100000E-9	-2.120640E-3
3.150000E-9	-2.081242E-3
3.200000E-9	-2.086381E-3
3.250000E-9	-2.177167E-3
3.300000E-9	-2.324481E-3
3.350000E-9	-2.490637E-3
3.400000E-9	-2.668784E-3
3.450000E-9	-2.852070E-3
3.500000E-9	-3.013087E-3
3.550000E-9	-3.117577E-3
3.600000E-9	-3.163826E-3
3.650000E-9	-3.158688E-3
3.700000E-9	-3.117577E-3
3.750000E-9	-3.045633E-3
3.800000E-9	-2.913736E-3
3.850000E-9	-2.742441E-3
3.900000E-9	-2.577998E-3
3.950000E-9	-2.434110E-3
4.000000E-9	-2.295361E-3
4.050000E-9	-2.199436E-3
4.100000E-9	-2.175454E-3
4.150000E-9	-2.153186E-3
4.200000E-9	-2.098372E-3
4.250000E-9	-2.053835E-3
4.300000E-9	-2.067538E-3
4.350000E-9	-2.113788E-3
4.400000E-9	-2.146334E-3
4.450000E-9	-2.196010E-3
4.500000E-9	-2.309064E-3
4.550000E-9	-2.483785E-3
4.600000E-9	-2.670497E-3
4.650000E-9	-2.829801E-3
4.700000E-9	-2.966837E-3
4.750000E-9	-3.086744E-3
4.800000E-9	-3.170678E-3
4.850000E-9	-3.208363E-3
4.900000E-9	-3.196373E-3
4.950000E-9	-3.150123E-3
5.000000E-9	-3.067901E-3
5.050000E-9	-2.932578E-3
5.100000E-9	-2.749293E-3
5.150000E-9	-2.533461E-3
5.200000E-9	-2.305638E-3
5.250000E-9	-2.079529E-3
5.300000E-9	-1.882540E-3
5.350000E-9	-1.735226E-3
5.400000E-9	-1.627310E-3
5.450000E-9	-1.601616E-3
5.500000E-9	-1.700967E-3
5.550000E-9	-1.880827E-3
5.600000E-9	-2.118927E-3
5.650000E-9	-2.425545E-3
5.700000E-9	-2.761283E-3
5.750000E-9	-3.028503E-3
5.800000E-9	-3.227206E-3
5.850000E-9	-3.371093E-3
5.900000E-9	-3.439611E-3
5.950000E-9	-3.432760E-3
6.000000E-9	-3.425908E-3
6.050000E-9	-3.425908E-3
6.100000E-9	-3.345399E-3
6.150000E-9	-3.175817E-3
6.200000E-9	-2.980541E-3
6.250000E-9	-2.800681E-3
6.300000E-9	-2.627673E-3
6.350000E-9	-2.476933E-3
6.400000E-9	-2.363879E-3
6.450000E-9	-2.290222E-3
6.500000E-9	-2.247398E-3
6.550000E-9	-2.218278E-3
6.600000E-9	-2.214852E-3
6.650000E-9	-2.245685E-3
6.700000E-9	-2.298787E-3
6.750000E-9	-2.367305E-3
6.800000E-9	-2.468369E-3
6.850000E-9	-2.554016E-3
6.900000E-9	-2.572859E-3
6.950000E-9	-2.535174E-3
7.000000E-9	-2.495776E-3
7.050000E-9	-2.418693E-3
7.100000E-9	-2.254250E-3
7.150000E-9	-2.046983E-3
7.200000E-9	-1.889392E-3
7.250000E-9	-1.790041E-3
7.300000E-9	-1.723235E-3
7.350000E-9	-1.700967E-3
7.400000E-9	-1.711245E-3
7.450000E-9	-1.718097E-3
7.500000E-9	-1.764346E-3
7.550000E-9	-1.873975E-3
7.600000E-9	-1.992169E-3
7.650000E-9	-2.091520E-3
7.700000E-9	-2.178880E-3
7.750000E-9	-2.233695E-3
7.800000E-9	-2.230269E-3
7.850000E-9	-2.192584E-3
7.900000E-9	-2.148047E-3
7.950000E-9	-2.079529E-3
8.000000E-9	-1.995595E-3
8.050000E-9	-1.949345E-3
8.100000E-9	-1.973326E-3
8.150000E-9	-2.043557E-3
8.200000E-9	-2.122353E-3
8.250000E-9	-2.201149E-3
8.300000E-9	-2.298787E-3
8.350000E-9	-2.403277E-3
8.400000E-9	-2.471795E-3
8.450000E-9	-2.506054E-3
8.500000E-9	-2.528322E-3
8.550000E-9	-2.536887E-3
8.600000E-9	-2.506054E-3
8.650000E-9	-2.434110E-3
8.700000E-9	-2.363879E-3
8.750000E-9	-2.314203E-3
8.800000E-9	-2.281657E-3
8.850000E-9	-2.279944E-3
8.900000E-9	-2.322768E-3
8.950000E-9	-2.389573E-3
9.000000E-9	-2.434110E-3
9.050000E-9	-2.440962E-3
9.100000E-9	-2.442674E-3
9.150000E-9	-2.461517E-3
9.200000E-9	-2.463230E-3
9.250000E-9	-2.437536E-3
9.300000E-9	-2.420406E-3
9.350000E-9	-2.411841E-3
9.400000E-9	-2.389573E-3
9.450000E-9	-2.357027E-3
9.500000E-9	-2.350175E-3
9.550000E-9	-2.372444E-3
9.600000E-9	-2.389573E-3
9.650000E-9	-2.401564E-3
9.700000E-9	-2.415267E-3
9.750000E-9	-2.398138E-3
9.800000E-9	-2.367305E-3
9.850000E-9	-2.362166E-3
9.900000E-9	-2.363879E-3
9.950000E-9	-2.338185E-3
1.000000E-8	-2.350175E-3
1.005000E-8	-2.384434E-3
1.010000E-8	-2.372444E-3
1.015000E-8	-2.326194E-3
1.020000E-8	-2.317629E-3
1.025000E-8	-2.338185E-3
1.030000E-8	-2.375869E-3
1.035000E-8	-2.442674E-3
1.040000E-8	-2.497489E-3
1.045000E-8	-2.499202E-3
1.050000E-8	-2.480359E-3
1.055000E-8	-2.476933E-3
1.060000E-8	-2.461517E-3
1.065000E-8	-2.422119E-3
1.070000E-8	-2.422119E-3
1.075000E-8	-2.471795E-3
1.080000E-8	-2.550590E-3
1.085000E-8	-2.620821E-3
1.090000E-8	-2.656793E-3
1.095000E-8	-2.660219E-3
1.100000E-8	-2.649941E-3
1.105000E-8	-2.619108E-3
1.110000E-8	-2.552303E-3
1.115000E-8	-2.468369E-3
1.120000E-8	-2.408415E-3
1.125000E-8	-2.387860E-3
1.130000E-8	-2.386147E-3
1.135000E-8	-2.372444E-3
1.140000E-8	-2.345036E-3
1.145000E-8	-2.334759E-3
1.150000E-8	-2.392999E-3
1.155000E-8	-2.483785E-3
1.160000E-8	-2.495776E-3
1.165000E-8	-2.386147E-3
1.170000E-8	-2.202861E-3
1.175000E-8	-1.911660E-3
1.180000E-8	-1.426895E-3
1.185000E-8	-7.262985E-4
1.190000E-8	2.192499E-4
1.195000E-8	1.521092E-3
1.200000E-8	3.249459E-3
1.205000E-8	5.424905E-3
1.210000E-8	8.091968E-3
1.215000E-8	1.127977E-2
1.220000E-8	1.494719E-2
1.225000E-8	1.906855E-2
1.230000E-8	2.359245E-2
1.235000E-8	2.837158E-2
1.240000E-8	3.323465E-2
1.245000E-8	3.800350E-2
1.250000E-8	4.248115E-2
1.255000E-8	4.652372E-2
1.260000E-8	5.003869E-2
1.265000E-8	5.292501E-2
1.270000E-8	5.511930E-2
1.275000E-8	5.665410E-2
1.280000E-8	5.756368E-2
1.285000E-8	5.784803E-2
1.290000E-8	5.751572E-2
1.295000E-8	5.662670E-2
1.300000E-8	5.519124E-2
1.305000E-8	5.330015E-2
1.310000E-8	5.104248E-2
1.315000E-8	4.847477E-2
1.320000E-8	4.570664E-2
1.325000E-8	4.283231E-2
1.330000E-8	4.000251E-2
1.335000E-8	3.737142E-2
1.340000E-8	3.496815E-2
1.345000E-8	3.285266E-2
1.350000E-8	3.109517E-2
1.355000E-8	2.977963E-2
1.360000E-8	2.902079E-2
1.365000E-8	2.883408E-2
1.370000E-8	2.914926E-2
1.375000E-8	2.976764E-2
1.380000E-8	3.063953E-2
1.385000E-8	3.180605E-2
1.390000E-8	3.316956E-2
1.395000E-8	3.455876E-2
1.400000E-8	3.589829E-2
1.405000E-8	3.715045E-2
1.410000E-8	3.818679E-2
1.415000E-8	3.886512E-2
1.420000E-8	3.918886E-2
1.425000E-8	3.915289E-2
1.430000E-8	3.872294E-2
1.435000E-8	3.790586E-2
1.440000E-8	3.675134E-2
1.445000E-8	3.521825E-2
1.450000E-8	3.334770E-2
1.455000E-8	3.126647E-2
1.460000E-8	2.909445E-2
1.465000E-8	2.685391E-2
1.470000E-8	2.464420E-2
1.475000E-8	2.261436E-2
1.480000E-8	2.082433E-2
1.485000E-8	1.935633E-2
1.490000E-8	1.833027E-2
1.495000E-8	1.773930E-2
1.500000E-8	1.756287E-2
1.505000E-8	1.783180E-2
1.510000E-8	1.856323E-2
1.515000E-8	1.966637E-2
1.520000E-8	2.101275E-2
1.525000E-8	2.247390E-2
1.530000E-8	2.395389E-2
1.535000E-8	2.541161E-2
1.540000E-8	2.676312E-2
1.545000E-8	2.783714E-2
1.550000E-8	2.854973E-2
1.555000E-8	2.891802E-2
1.560000E-8	2.891116E-2
1.565000E-8	2.845552E-2
1.570000E-8	2.761103E-2
1.575000E-8	2.644965E-2
1.580000E-8	2.498337E-2
1.585000E-8	2.323445E-2
1.590000E-8	2.131937E-2
1.595000E-8	1.937517E-2
1.600000E-8	1.743954E-2
1.605000E-8	1.556728E-2
1.610000E-8	1.386118E-2
1.615000E-8	1.238805E-2
1.620000E-8	1.120782E-2
1.625000E-8	1.038047E-2
1.630000E-8	9.933390E-3
1.635000E-8	9.875149E-3
1.640000E-8	1.023144E-2
1.645000E-8	1.100056E-2
1.650000E-8	1.212083E-2
1.655000E-8	1.352031E-2
1.660000E-8	1.513562E-2
1.665000E-8	1.683829E-2
1.670000E-8	1.850328E-2
1.675000E-8	2.005350E-2
1.680000E-8	2.136562E-2
1.685000E-8	2.228547E-2
1.690000E-8	2.278223E-2
1.695000E-8	2.287473E-2
1.700000E-8	2.250130E-2
1.705000E-8	2.162599E-2
1.710000E-8	2.038238E-2
1.715000E-8	1.886129E-2
1.720000E-8	1.708324E-2
1.725000E-8	1.509793E-2
1.730000E-8	1.300300E-2
1.735000E-8	1.091662E-2
1.740000E-8	8.933027E-3
1.745000E-8	7.178966E-3
1.750000E-8	5.779486E-3
1.755000E-8	4.753429E-3
1.760000E-8	4.104221E-3
1.765000E-8	3.869546E-3
1.770000E-8	4.092230E-3
1.775000E-8	4.748290E-3
1.780000E-8	5.791476E-3
1.785000E-8	7.180679E-3
1.790000E-8	8.828537E-3
1.795000E-8	1.059973E-2
1.800000E-8	1.241032E-2
1.805000E-8	1.420549E-2
1.810000E-8	1.583108E-2
1.815000E-8	1.718088E-2
1.820000E-8	1.818810E-2
1.825000E-8	1.877392E-2
1.830000E-8	1.886985E-2
1.835000E-8	1.850842E-2
1.840000E-8	1.773759E-2
1.845000E-8	1.658991E-2
1.850000E-8	1.507395E-2
1.855000E-8	1.328563E-2
1.860000E-8	1.132259E-2
1.865000E-8	9.277330E-3
1.870000E-8	7.226929E-3
1.875000E-8	5.293008E-3
1.880000E-8	3.562928E-3
1.885000E-8	2.125763E-3
1.890000E-8	1.039753E-3
1.895000E-8	4.145262E-4
1.900000E-8	2.740643E-4
1.905000E-8	5.738306E-4
1.910000E-8	1.274427E-3
1.915000E-8	2.372428E-3
1.920000E-8	3.821584E-3
1.925000E-8	5.496849E-3
1.930000E-8	7.274891E-3
1.935000E-8	9.056359E-3
1.940000E-8	1.076588E-2
1.945000E-8	1.230411E-2
1.950000E-8	1.359396E-2
1.955000E-8	1.456521E-2
1.960000E-8	1.512020E-2
1.965000E-8	1.519215E-2
1.970000E-8	1.478618E-2
1.975000E-8	1.391086E-2
