Study Name	Tungsten_Kyocera
Sample Name	2024-02-05
Run Name	spot00
Operator	Angus+Samantha
Date	2/5/2024
Time	15:26
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	27
dt	50.000001E-12
time stamp (ms)	3:54:36 PM
	
Time	Amplitude
0.000000E+0	-3.922663E-3
5.000000E-11	-3.972339E-3
1.000000E-10	-4.015163E-3
1.500000E-10	-4.035718E-3
2.000000E-10	-4.075116E-3
2.500000E-10	-4.129930E-3
3.000000E-10	-4.147060E-3
3.500000E-10	-4.148773E-3
4.000000E-10	-4.179606E-3
4.500000E-10	-4.207013E-3
5.000000E-10	-4.195022E-3
5.500000E-10	-4.191596E-3
6.000000E-10	-4.222430E-3
6.500000E-10	-4.249837E-3
7.000000E-10	-4.272105E-3
7.500000E-10	-4.284096E-3
8.000000E-10	-4.266966E-3
8.500000E-10	-4.260114E-3
9.000000E-10	-4.290948E-3
9.500000E-10	-4.294373E-3
1.000000E-9	-4.266966E-3
1.050000E-9	-4.278957E-3
1.100000E-9	-4.320068E-3
1.150000E-9	-4.309790E-3
1.200000E-9	-4.256689E-3
1.250000E-9	-4.193309E-3
1.300000E-9	-4.124791E-3
1.350000E-9	-4.054560E-3
1.400000E-9	-4.011737E-3
1.450000E-9	-3.970626E-3
1.500000E-9	-3.895256E-3
1.550000E-9	-3.835303E-3
1.600000E-9	-3.826738E-3
1.650000E-9	-3.823312E-3
1.700000E-9	-3.843868E-3
1.750000E-9	-3.934654E-3
1.800000E-9	-4.027153E-3
1.850000E-9	-4.092245E-3
1.900000E-9	-4.171041E-3
1.950000E-9	-4.253263E-3
2.000000E-9	-4.287522E-3
2.050000E-9	-4.280670E-3
2.100000E-9	-4.282383E-3
2.150000E-9	-4.296086E-3
2.200000E-9	-4.309790E-3
2.250000E-9	-4.304651E-3
2.300000E-9	-4.285809E-3
2.350000E-9	-4.285809E-3
2.400000E-9	-4.314929E-3
2.450000E-9	-4.325207E-3
2.500000E-9	-4.318355E-3
2.550000E-9	-4.337197E-3
2.600000E-9	-4.402289E-3
2.650000E-9	-4.441687E-3
2.700000E-9	-4.429697E-3
2.750000E-9	-4.395438E-3
2.800000E-9	-4.359466E-3
2.850000E-9	-4.308077E-3
2.900000E-9	-4.229281E-3
2.950000E-9	-4.157337E-3
3.000000E-9	-4.102523E-3
3.050000E-9	-4.078542E-3
3.100000E-9	-4.061412E-3
3.150000E-9	-4.030579E-3
3.200000E-9	-4.001459E-3
3.250000E-9	-3.996320E-3
3.300000E-9	-3.998033E-3
3.350000E-9	-3.967200E-3
3.400000E-9	-3.910673E-3
3.450000E-9	-3.840442E-3
3.500000E-9	-3.744517E-3
3.550000E-9	-3.612619E-3
3.600000E-9	-3.487574E-3
3.650000E-9	-3.393362E-3
3.700000E-9	-3.329983E-3
3.750000E-9	-3.299150E-3
3.800000E-9	-3.292298E-3
3.850000E-9	-3.288872E-3
3.900000E-9	-3.304288E-3
3.950000E-9	-3.300862E-3
4.000000E-9	-3.251187E-3
4.050000E-9	-3.211789E-3
4.100000E-9	-3.237483E-3
4.150000E-9	-3.297437E-3
4.200000E-9	-3.341973E-3
4.250000E-9	-3.391649E-3
4.300000E-9	-3.465306E-3
4.350000E-9	-3.545814E-3
4.400000E-9	-3.619471E-3
4.450000E-9	-3.686276E-3
4.500000E-9	-3.763359E-3
4.550000E-9	-3.857571E-3
4.600000E-9	-3.965487E-3
4.650000E-9	-4.063125E-3
4.700000E-9	-4.138495E-3
4.750000E-9	-4.186458E-3
4.800000E-9	-4.188171E-3
4.850000E-9	-4.157337E-3
4.900000E-9	-4.133356E-3
4.950000E-9	-4.114514E-3
5.000000E-9	-4.059699E-3
5.050000E-9	-3.955209E-3
5.100000E-9	-3.811322E-3
5.150000E-9	-3.699980E-3
5.200000E-9	-3.633175E-3
5.250000E-9	-3.593777E-3
5.300000E-9	-3.566370E-3
5.350000E-9	-3.573222E-3
5.400000E-9	-3.643452E-3
5.450000E-9	-3.723961E-3
5.500000E-9	-3.789053E-3
5.550000E-9	-3.874701E-3
5.600000E-9	-3.998033E-3
5.650000E-9	-4.095671E-3
5.700000E-9	-4.162476E-3
5.750000E-9	-4.222430E-3
5.800000E-9	-4.251550E-3
5.850000E-9	-4.224143E-3
5.900000E-9	-4.153912E-3
5.950000E-9	-4.078542E-3
6.000000E-9	-4.008311E-3
6.050000E-9	-3.929515E-3
6.100000E-9	-3.819886E-3
6.150000E-9	-3.674286E-3
6.200000E-9	-3.561231E-3
6.250000E-9	-3.509842E-3
6.300000E-9	-3.489287E-3
6.350000E-9	-3.504704E-3
6.400000E-9	-3.562944E-3
6.450000E-9	-3.643452E-3
6.500000E-9	-3.742804E-3
6.550000E-9	-3.890117E-3
6.600000E-9	-4.052848E-3
6.650000E-9	-4.208726E-3
6.700000E-9	-4.354327E-3
6.750000E-9	-4.465668E-3
6.800000E-9	-4.503353E-3
6.850000E-9	-4.496502E-3
6.900000E-9	-4.450252E-3
6.950000E-9	-4.337197E-3
7.000000E-9	-4.196735E-3
7.050000E-9	-4.116227E-3
7.100000E-9	-4.063125E-3
7.150000E-9	-4.006598E-3
7.200000E-9	-3.968913E-3
7.250000E-9	-3.926089E-3
7.300000E-9	-3.855858E-3
7.350000E-9	-3.792479E-3
7.400000E-9	-3.778776E-3
7.450000E-9	-3.795905E-3
7.500000E-9	-3.819886E-3
7.550000E-9	-3.905534E-3
7.600000E-9	-4.056273E-3
7.650000E-9	-4.201874E-3
7.700000E-9	-4.306364E-3
7.750000E-9	-4.380021E-3
7.800000E-9	-4.421132E-3
7.850000E-9	-4.409141E-3
7.900000E-9	-4.371456E-3
7.950000E-9	-4.328632E-3
8.000000E-9	-4.272105E-3
8.050000E-9	-4.193309E-3
8.100000E-9	-4.095671E-3
8.150000E-9	-3.972339E-3
8.200000E-9	-3.855858E-3
8.250000E-9	-3.766785E-3
8.300000E-9	-3.682850E-3
8.350000E-9	-3.605768E-3
8.400000E-9	-3.566370E-3
8.450000E-9	-3.538963E-3
8.500000E-9	-3.508129E-3
8.550000E-9	-3.504704E-3
8.600000E-9	-3.530398E-3
8.650000E-9	-3.528685E-3
8.700000E-9	-3.509842E-3
8.750000E-9	-3.506416E-3
8.800000E-9	-3.496139E-3
8.850000E-9	-3.467019E-3
8.900000E-9	-3.449889E-3
8.950000E-9	-3.431047E-3
9.000000E-9	-3.388223E-3
9.050000E-9	-3.331696E-3
9.100000E-9	-3.259752E-3
9.150000E-9	-3.182669E-3
9.200000E-9	-3.170678E-3
9.250000E-9	-3.232344E-3
9.300000E-9	-3.300862E-3
9.350000E-9	-3.374519E-3
9.400000E-9	-3.467019E-3
9.450000E-9	-3.556092E-3
9.500000E-9	-3.638314E-3
9.550000E-9	-3.765072E-3
9.600000E-9	-3.920950E-3
9.650000E-9	-4.039144E-3
9.700000E-9	-4.117940E-3
9.750000E-9	-4.183032E-3
9.800000E-9	-4.220717E-3
9.850000E-9	-4.191596E-3
9.900000E-9	-4.111088E-3
9.950000E-9	-4.020301E-3
1.000000E-8	-3.967200E-3
1.005000E-8	-3.939793E-3
1.010000E-8	-3.910673E-3
1.015000E-8	-3.874701E-3
1.020000E-8	-3.864423E-3
1.025000E-8	-3.857571E-3
1.030000E-8	-3.826738E-3
1.035000E-8	-3.816460E-3
1.040000E-8	-3.835303E-3
1.045000E-8	-3.847294E-3
1.050000E-8	-3.850719E-3
1.055000E-8	-3.903821E-3
1.060000E-8	-3.967200E-3
1.065000E-8	-3.970626E-3
1.070000E-8	-3.938080E-3
1.075000E-8	-3.927802E-3
1.080000E-8	-3.919237E-3
1.085000E-8	-3.881553E-3
1.090000E-8	-3.847294E-3
1.095000E-8	-3.825025E-3
1.100000E-8	-3.804470E-3
1.105000E-8	-3.795905E-3
1.110000E-8	-3.795905E-3
1.115000E-8	-3.759933E-3
1.120000E-8	-3.698267E-3
1.125000E-8	-3.674286E-3
1.130000E-8	-3.679424E-3
1.135000E-8	-3.689702E-3
1.140000E-8	-3.713683E-3
1.145000E-8	-3.751368E-3
1.150000E-8	-3.749655E-3
1.155000E-8	-3.708545E-3
1.160000E-8	-3.665721E-3
1.165000E-8	-3.614332E-3
1.170000E-8	-3.520120E-3
1.175000E-8	-3.312853E-3
1.180000E-8	-2.908597E-3
1.185000E-8	-2.223417E-3
1.190000E-8	-1.212776E-3
1.195000E-8	1.849909E-4
1.200000E-8	2.060671E-3
1.205000E-8	4.465653E-3
1.210000E-8	7.393085E-3
1.215000E-8	1.089949E-2
1.220000E-8	1.502085E-2
1.225000E-8	1.967836E-2
1.230000E-8	2.473157E-2
1.235000E-8	3.003486E-2
1.240000E-8	3.539639E-2
1.245000E-8	4.057464E-2
1.250000E-8	4.536919E-2
1.255000E-8	4.961216E-2
1.260000E-8	5.321964E-2
1.265000E-8	5.613679E-2
1.270000E-8	5.833622E-2
1.275000E-8	5.984019E-2
1.280000E-8	6.071551E-2
1.285000E-8	6.098273E-2
1.290000E-8	6.061787E-2
1.295000E-8	5.968602E-2
1.300000E-8	5.833108E-2
1.305000E-8	5.660785E-2
1.310000E-8	5.454546E-2
1.315000E-8	5.221756E-2
1.320000E-8	4.975777E-2
1.325000E-8	4.725857E-2
1.330000E-8	4.485873E-2
1.335000E-8	4.266444E-2
1.340000E-8	4.065515E-2
1.345000E-8	3.880688E-2
1.350000E-8	3.719499E-2
1.355000E-8	3.604731E-2
1.360000E-8	3.538611E-2
1.365000E-8	3.506751E-2
1.370000E-8	3.513945E-2
1.375000E-8	3.570130E-2
1.380000E-8	3.663657E-2
1.385000E-8	3.778424E-2
1.390000E-8	3.912377E-2
1.395000E-8	4.056608E-2
1.400000E-8	4.191245E-2
1.405000E-8	4.312865E-2
1.410000E-8	4.418554E-2
1.415000E-8	4.493410E-2
1.420000E-8	4.529382E-2
1.425000E-8	4.536234E-2
1.430000E-8	4.513794E-2
1.435000E-8	4.451271E-2
1.440000E-8	4.347124E-2
1.445000E-8	4.210259E-2
1.450000E-8	4.040506E-2
1.455000E-8	3.845230E-2
1.460000E-8	3.634879E-2
1.465000E-8	3.415622E-2
1.470000E-8	3.191910E-2
1.475000E-8	2.985329E-2
1.480000E-8	2.808381E-2
1.485000E-8	2.657813E-2
1.490000E-8	2.534651E-2
1.495000E-8	2.453115E-2
1.500000E-8	2.420055E-2
1.505000E-8	2.438041E-2
1.510000E-8	2.501763E-2
1.515000E-8	2.600086E-2
1.520000E-8	2.730099E-2
1.525000E-8	2.891288E-2
1.530000E-8	3.069263E-2
1.535000E-8	3.233192E-2
1.540000E-8	3.377080E-2
1.545000E-8	3.505380E-2
1.550000E-8	3.606958E-2
1.555000E-8	3.669310E-2
1.560000E-8	3.693805E-2
1.565000E-8	3.679930E-2
1.570000E-8	3.627342E-2
1.575000E-8	3.539982E-2
1.580000E-8	3.418705E-2
1.585000E-8	3.261970E-2
1.590000E-8	3.077828E-2
1.595000E-8	2.882209E-2
1.600000E-8	2.685562E-2
1.605000E-8	2.488573E-2
1.610000E-8	2.292612E-2
1.615000E-8	2.108469E-2
1.620000E-8	1.955503E-2
1.625000E-8	1.845532E-2
1.630000E-8	1.779240E-2
1.635000E-8	1.758514E-2
1.640000E-8	1.787805E-2
1.645000E-8	1.859064E-2
1.650000E-8	1.965096E-2
1.655000E-8	2.100076E-2
1.660000E-8	2.254070E-2
1.665000E-8	2.415259E-2
1.670000E-8	2.576790E-2
1.675000E-8	2.728729E-2
1.680000E-8	2.856857E-2
1.685000E-8	2.957579E-2
1.690000E-8	3.025754E-2
1.695000E-8	3.050935E-2
1.700000E-8	3.033291E-2
1.705000E-8	2.979162E-2
1.710000E-8	2.888033E-2
1.715000E-8	2.756992E-2
1.720000E-8	2.590836E-2
1.725000E-8	2.405152E-2
1.730000E-8	2.208506E-2
1.735000E-8	2.003808E-2
1.740000E-8	1.797569E-2
1.745000E-8	1.601608E-2
1.750000E-8	1.426201E-2
1.755000E-8	1.280087E-2
1.760000E-8	1.172685E-2
1.765000E-8	1.110847E-2
1.770000E-8	1.100398E-2
1.775000E-8	1.141509E-2
1.780000E-8	1.230411E-2
1.785000E-8	1.360938E-2
1.790000E-8	1.524011E-2
1.795000E-8	1.706954E-2
1.800000E-8	1.897605E-2
1.805000E-8	2.086715E-2
1.810000E-8	2.260579E-2
1.815000E-8	2.408750E-2
1.820000E-8	2.525230E-2
1.825000E-8	2.600257E-2
1.830000E-8	2.627836E-2
1.835000E-8	2.608308E-2
1.840000E-8	2.545957E-2
1.845000E-8	2.436328E-2
1.850000E-8	2.284389E-2
1.855000E-8	2.102303E-2
1.860000E-8	1.901031E-2
1.865000E-8	1.688454E-2
1.870000E-8	1.476391E-2
1.875000E-8	1.273406E-2
1.880000E-8	1.089093E-2
1.885000E-8	9.356125E-3
1.890000E-8	8.167338E-3
1.895000E-8	7.391372E-3
1.900000E-8	7.093318E-3
1.905000E-8	7.283456E-3
1.910000E-8	7.891553E-3
1.915000E-8	8.917610E-3
1.920000E-8	1.031538E-2
1.925000E-8	1.192726E-2
1.930000E-8	1.363165E-2
1.935000E-8	1.537029E-2
1.940000E-8	1.704898E-2
1.945000E-8	1.854268E-2
1.950000E-8	1.979142E-2
1.955000E-8	2.071984E-2
1.960000E-8	2.125428E-2
1.965000E-8	2.137590E-2
1.970000E-8	2.107270E-2
1.975000E-8	2.030873E-2
