Study Name	Tungsten_Kyocera
Sample Name	2024-02-05
Run Name	spot00
Operator	Angus+Samantha
Date	2/5/2024
Time	15:26
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	30
dt	50.000001E-12
time stamp (ms)	3:57:44 PM
	
Time	Amplitude
0.000000E+0	-1.332683E-3
5.000000E-11	-1.163101E-3
1.000000E-10	-1.070601E-3
1.500000E-10	-1.080879E-3
2.000000E-10	-1.118564E-3
2.500000E-10	-1.199073E-3
3.000000E-10	-1.327544E-3
3.500000E-10	-1.469719E-3
4.000000E-10	-1.615320E-3
4.500000E-10	-1.810596E-3
5.000000E-10	-2.026428E-3
5.500000E-10	-2.177167E-3
6.000000E-10	-2.300500E-3
6.500000E-10	-2.411841E-3
7.000000E-10	-2.432397E-3
7.500000E-10	-2.362166E-3
8.000000E-10	-2.269667E-3
8.500000E-10	-2.173741E-3
9.000000E-10	-2.062400E-3
9.500000E-10	-1.956197E-3
1.000000E-9	-1.856846E-3
1.050000E-9	-1.747217E-3
1.100000E-9	-1.659856E-3
1.150000E-9	-1.594764E-3
1.200000E-9	-1.514256E-3
1.250000E-9	-1.438886E-3
1.300000E-9	-1.394349E-3
1.350000E-9	-1.365229E-3
1.400000E-9	-1.351525E-3
1.450000E-9	-1.394349E-3
1.500000E-9	-1.474858E-3
1.550000E-9	-1.541663E-3
1.600000E-9	-1.596477E-3
1.650000E-9	-1.682125E-3
1.700000E-9	-1.776337E-3
1.750000E-9	-1.834577E-3
1.800000E-9	-1.851707E-3
1.850000E-9	-1.841429E-3
1.900000E-9	-1.796892E-3
1.950000E-9	-1.700967E-3
2.000000E-9	-1.560505E-3
2.050000E-9	-1.408053E-3
2.100000E-9	-1.298424E-3
2.150000E-9	-1.241896E-3
2.200000E-9	-1.209350E-3
2.250000E-9	-1.197360E-3
2.300000E-9	-1.214489E-3
2.350000E-9	-1.235045E-3
2.400000E-9	-1.255600E-3
2.450000E-9	-1.329257E-3
2.500000E-9	-1.442312E-3
2.550000E-9	-1.531385E-3
2.600000E-9	-1.603329E-3
2.650000E-9	-1.694115E-3
2.700000E-9	-1.755782E-3
2.750000E-9	-1.754069E-3
2.800000E-9	-1.738652E-3
2.850000E-9	-1.735226E-3
2.900000E-9	-1.738652E-3
2.950000E-9	-1.760920E-3
3.000000E-9	-1.826012E-3
3.050000E-9	-1.915086E-3
3.100000E-9	-2.007585E-3
3.150000E-9	-2.100084E-3
3.200000E-9	-2.160038E-3
3.250000E-9	-2.166890E-3
3.300000E-9	-2.149760E-3
3.350000E-9	-2.139482E-3
3.400000E-9	-2.089807E-3
3.450000E-9	-1.963048E-3
3.500000E-9	-1.790041E-3
3.550000E-9	-1.611894E-3
3.600000E-9	-1.438886E-3
3.650000E-9	-1.253887E-3
3.700000E-9	-1.062037E-3
3.750000E-9	-8.993065E-4
3.800000E-9	-7.948165E-4
3.850000E-9	-7.400021E-4
3.900000E-9	-7.125949E-4
3.950000E-9	-7.297244E-4
4.000000E-9	-7.913906E-4
4.050000E-9	-8.599086E-4
4.100000E-9	-8.907417E-4
4.150000E-9	-8.873158E-4
4.200000E-9	-8.890288E-4
4.250000E-9	-8.770381E-4
4.300000E-9	-8.462050E-4
4.350000E-9	-8.393532E-4
4.400000E-9	-8.633345E-4
4.450000E-9	-8.873158E-4
4.500000E-9	-8.975935E-4
4.550000E-9	-9.112971E-4
4.600000E-9	-9.506950E-4
4.650000E-9	-1.002083E-3
4.700000E-9	-1.041481E-3
4.750000E-9	-1.089444E-3
4.800000E-9	-1.168240E-3
4.850000E-9	-1.243609E-3
4.900000E-9	-1.269304E-3
4.950000E-9	-1.248748E-3
5.000000E-9	-1.195647E-3
5.050000E-9	-1.113425E-3
5.100000E-9	-1.032917E-3
5.150000E-9	-1.015787E-3
5.200000E-9	-1.072314E-3
5.250000E-9	-1.145971E-3
5.300000E-9	-1.205925E-3
5.350000E-9	-1.260739E-3
5.400000E-9	-1.293285E-3
5.450000E-9	-1.296711E-3
5.500000E-9	-1.329257E-3
5.550000E-9	-1.401201E-3
5.600000E-9	-1.479997E-3
5.650000E-9	-1.545089E-3
5.700000E-9	-1.610181E-3
5.750000E-9	-1.649579E-3
5.800000E-9	-1.664995E-3
5.850000E-9	-1.687264E-3
5.900000E-9	-1.704393E-3
5.950000E-9	-1.671847E-3
6.000000E-9	-1.594764E-3
6.050000E-9	-1.509117E-3
6.100000E-9	-1.409766E-3
6.150000E-9	-1.308702E-3
6.200000E-9	-1.229906E-3
6.250000E-9	-1.185369E-3
6.300000E-9	-1.205925E-3
6.350000E-9	-1.288146E-3
6.400000E-9	-1.390923E-3
6.450000E-9	-1.490274E-3
6.500000E-9	-1.603329E-3
6.550000E-9	-1.736939E-3
6.600000E-9	-1.861984E-3
6.650000E-9	-1.951058E-3
6.700000E-9	-2.019576E-3
6.750000E-9	-2.076103E-3
6.800000E-9	-2.142908E-3
6.850000E-9	-2.243972E-3
6.900000E-9	-2.351888E-3
6.950000E-9	-2.403277E-3
7.000000E-9	-2.370731E-3
7.050000E-9	-2.279944E-3
7.100000E-9	-2.149760E-3
7.150000E-9	-1.976752E-3
7.200000E-9	-1.769485E-3
7.250000E-9	-1.574209E-3
7.300000E-9	-1.430321E-3
7.350000E-9	-1.324118E-3
7.400000E-9	-1.216202E-3
7.450000E-9	-1.111712E-3
7.500000E-9	-1.050046E-3
7.550000E-9	-1.056898E-3
7.600000E-9	-1.140832E-3
7.650000E-9	-1.286433E-3
7.700000E-9	-1.433747E-3
7.750000E-9	-1.531385E-3
7.800000E-9	-1.599903E-3
7.850000E-9	-1.668421E-3
7.900000E-9	-1.723235E-3
7.950000E-9	-1.733513E-3
8.000000E-9	-1.740365E-3
8.050000E-9	-1.776337E-3
8.100000E-9	-1.815735E-3
8.150000E-9	-1.829438E-3
8.200000E-9	-1.810596E-3
8.250000E-9	-1.762633E-3
8.300000E-9	-1.690689E-3
8.350000E-9	-1.610181E-3
8.400000E-9	-1.536524E-3
8.450000E-9	-1.481710E-3
8.500000E-9	-1.478284E-3
8.550000E-9	-1.500552E-3
8.600000E-9	-1.509117E-3
8.650000E-9	-1.514256E-3
8.700000E-9	-1.560505E-3
8.750000E-9	-1.627310E-3
8.800000E-9	-1.666708E-3
8.850000E-9	-1.694115E-3
8.900000E-9	-1.730087E-3
8.950000E-9	-1.752356E-3
9.000000E-9	-1.745504E-3
9.050000E-9	-1.723235E-3
9.100000E-9	-1.676986E-3
9.150000E-9	-1.579348E-3
9.200000E-9	-1.464580E-3
9.250000E-9	-1.339535E-3
9.300000E-9	-1.192221E-3
9.350000E-9	-1.038055E-3
9.400000E-9	-9.181489E-4
9.450000E-9	-9.027324E-4
9.500000E-9	-9.798151E-4
9.550000E-9	-1.074027E-3
9.600000E-9	-1.157962E-3
9.650000E-9	-1.271017E-3
9.700000E-9	-1.445738E-3
9.750000E-9	-1.617033E-3
9.800000E-9	-1.766059E-3
9.850000E-9	-1.940780E-3
9.900000E-9	-2.139482E-3
9.950000E-9	-2.295361E-3
1.000000E-8	-2.396425E-3
1.005000E-8	-2.461517E-3
1.010000E-8	-2.482072E-3
1.015000E-8	-2.440962E-3
1.020000E-8	-2.360453E-3
1.025000E-8	-2.279944E-3
1.030000E-8	-2.204574E-3
1.035000E-8	-2.137769E-3
1.040000E-8	-2.048696E-3
1.045000E-8	-1.920225E-3
1.050000E-8	-1.800318E-3
1.055000E-8	-1.738652E-3
1.060000E-8	-1.711245E-3
1.065000E-8	-1.687264E-3
1.070000E-8	-1.683838E-3
1.075000E-8	-1.724948E-3
1.080000E-8	-1.784902E-3
1.085000E-8	-1.865410E-3
1.090000E-8	-1.947632E-3
1.095000E-8	-2.009298E-3
1.100000E-8	-2.046983E-3
1.105000E-8	-2.081242E-3
1.110000E-8	-2.091520E-3
1.115000E-8	-2.041844E-3
1.120000E-8	-2.000733E-3
1.125000E-8	-1.993882E-3
1.130000E-8	-1.990456E-3
1.135000E-8	-1.975039E-3
1.140000E-8	-1.947632E-3
1.145000E-8	-1.868836E-3
1.150000E-8	-1.733513E-3
1.155000E-8	-1.591338E-3
1.160000E-8	-1.440599E-3
1.165000E-8	-1.217915E-3
1.170000E-8	-9.061583E-4
1.175000E-8	-4.916244E-4
1.180000E-8	5.823260E-5
1.185000E-8	7.862364E-4
1.190000E-8	1.771183E-3
1.195000E-8	3.126126E-3
1.200000E-8	4.914446E-3
1.205000E-8	7.206373E-3
1.210000E-8	1.010811E-2
1.215000E-8	1.369503E-2
1.220000E-8	1.793629E-2
1.225000E-8	2.274626E-2
1.230000E-8	2.802386E-2
1.235000E-8	3.357895E-2
1.240000E-8	3.915289E-2
1.245000E-8	4.452128E-2
1.250000E-8	4.949397E-2
1.255000E-8	5.387741E-2
1.260000E-8	5.750201E-2
1.265000E-8	6.036093E-2
1.270000E-8	6.253123E-2
1.275000E-8	6.404034E-2
1.280000E-8	6.487455E-2
1.285000E-8	6.508182E-2
1.290000E-8	6.474094E-2
1.295000E-8	6.389988E-2
1.300000E-8	6.263230E-2
1.305000E-8	6.101013E-2
1.310000E-8	5.912418E-2
1.315000E-8	5.697614E-2
1.320000E-8	5.469106E-2
1.325000E-8	5.238372E-2
1.330000E-8	5.015003E-2
1.335000E-8	4.796088E-2
1.340000E-8	4.582483E-2
1.345000E-8	4.386522E-2
1.350000E-8	4.219509E-2
1.355000E-8	4.084871E-2
1.360000E-8	3.992543E-2
1.365000E-8	3.942525E-2
1.370000E-8	3.930363E-2
1.375000E-8	3.961881E-2
1.380000E-8	4.036909E-2
1.385000E-8	4.148593E-2
1.390000E-8	4.285286E-2
1.395000E-8	4.437739E-2
1.400000E-8	4.589335E-2
1.405000E-8	4.724829E-2
1.410000E-8	4.834458E-2
1.415000E-8	4.915309E-2
1.420000E-8	4.966013E-2
1.425000E-8	4.983656E-2
1.430000E-8	4.963786E-2
1.435000E-8	4.904004E-2
1.440000E-8	4.806194E-2
1.445000E-8	4.673955E-2
1.450000E-8	4.511738E-2
1.455000E-8	4.324513E-2
1.460000E-8	4.121871E-2
1.465000E-8	3.907752E-2
1.470000E-8	3.695175E-2
1.475000E-8	3.491163E-2
1.480000E-8	3.290748E-2
1.485000E-8	3.109175E-2
1.490000E-8	2.966315E-2
1.495000E-8	2.870732E-2
1.500000E-8	2.822256E-2
1.505000E-8	2.824140E-2
1.510000E-8	2.879640E-2
1.515000E-8	2.971625E-2
1.520000E-8	3.094786E-2
1.525000E-8	3.255290E-2
1.530000E-8	3.437205E-2
1.535000E-8	3.610213E-2
1.540000E-8	3.763864E-2
1.545000E-8	3.897474E-2
1.550000E-8	4.006761E-2
1.555000E-8	4.080589E-2
1.560000E-8	4.115362E-2
1.565000E-8	4.111593E-2
1.570000E-8	4.068427E-2
1.575000E-8	3.984664E-2
1.580000E-8	3.859961E-2
1.585000E-8	3.700485E-2
1.590000E-8	3.514801E-2
1.595000E-8	3.312502E-2
1.600000E-8	3.097698E-2
1.605000E-8	2.880325E-2
1.610000E-8	2.674599E-2
1.615000E-8	2.495596E-2
1.620000E-8	2.338347E-2
1.625000E-8	2.210561E-2
1.630000E-8	2.129710E-2
1.635000E-8	2.107956E-2
1.640000E-8	2.134506E-2
1.645000E-8	2.199598E-2
1.650000E-8	2.306315E-2
1.655000E-8	2.450546E-2
1.660000E-8	2.617901E-2
1.665000E-8	2.795705E-2
1.670000E-8	2.976079E-2
1.675000E-8	3.148573E-2
1.680000E-8	3.297771E-2
1.685000E-8	3.411339E-2
1.690000E-8	3.480542E-2
1.695000E-8	3.503496E-2
1.700000E-8	3.480885E-2
1.705000E-8	3.410997E-2
1.710000E-8	3.294687E-2
1.715000E-8	3.142749E-2
1.720000E-8	2.963403E-2
1.725000E-8	2.761617E-2
1.730000E-8	2.542188E-2
1.735000E-8	2.321732E-2
1.740000E-8	2.116178E-2
1.745000E-8	1.927068E-2
1.750000E-8	1.758342E-2
1.755000E-8	1.623533E-2
1.760000E-8	1.532062E-2
1.765000E-8	1.482729E-2
1.770000E-8	1.480331E-2
1.775000E-8	1.531719E-2
1.780000E-8	1.631413E-2
1.785000E-8	1.765537E-2
1.790000E-8	1.926725E-2
1.795000E-8	2.108812E-2
1.800000E-8	2.299292E-2
1.805000E-8	2.484805E-2
1.810000E-8	2.654215E-2
1.815000E-8	2.799645E-2
1.820000E-8	2.913727E-2
1.825000E-8	2.990981E-2
1.830000E-8	3.022157E-2
1.835000E-8	3.004856E-2
1.840000E-8	2.943533E-2
1.845000E-8	2.844353E-2
1.850000E-8	2.702521E-2
1.855000E-8	2.517351E-2
1.860000E-8	2.305287E-2
1.865000E-8	2.082946E-2
1.870000E-8	1.858379E-2
1.875000E-8	1.640663E-2
1.880000E-8	1.447271E-2
1.885000E-8	1.285911E-2
1.890000E-8	1.158810E-2
1.895000E-8	1.073162E-2
1.900000E-8	1.040274E-2
1.905000E-8	1.062713E-2
1.910000E-8	1.136028E-2
1.915000E-8	1.255249E-2
1.920000E-8	1.411641E-2
1.925000E-8	1.593043E-2
1.930000E-8	1.791745E-2
1.935000E-8	1.994730E-2
1.940000E-8	2.188636E-2
1.945000E-8	2.359759E-2
1.950000E-8	2.497138E-2
1.955000E-8	2.592035E-2
1.960000E-8	2.639313E-2
1.965000E-8	2.637771E-2
1.970000E-8	2.588781E-2
1.975000E-8	2.496624E-2
