Study Name	Tungsten_Kyocera
Sample Name	2024-02-05
Run Name	spot03
Operator	Angus+Samantha
Date	2/5/2024
Time	16:26
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	176
dt	50.000001E-12
time stamp (ms)	7:28:56 PM
	
Time	Amplitude
0.000000E+0	1.654716E-3
5.000000E-11	1.635874E-3
1.000000E-10	1.587911E-3
1.500000E-10	1.497125E-3
2.000000E-10	1.428607E-3
2.500000E-10	1.399487E-3
3.000000E-10	1.387496E-3
3.500000E-10	1.399487E-3
4.000000E-10	1.456014E-3
4.500000E-10	1.550226E-3
5.000000E-10	1.673558E-3
5.500000E-10	1.839714E-3
6.000000E-10	2.016148E-3
6.500000E-10	2.173739E-3
7.000000E-10	2.321053E-3
7.500000E-10	2.437533E-3
8.000000E-10	2.507765E-3
8.500000E-10	2.540311E-3
9.000000E-10	2.557440E-3
9.500000E-10	2.530033E-3
1.000000E-9	2.466654E-3
1.050000E-9	2.422117E-3
1.100000E-9	2.381006E-3
1.150000E-9	2.315914E-3
1.200000E-9	2.271377E-3
1.250000E-9	2.271377E-3
1.300000E-9	2.276515E-3
1.350000E-9	2.271376E-3
1.400000E-9	2.259385E-3
1.450000E-9	2.230265E-3
1.500000E-9	2.165173E-3
1.550000E-9	2.088090E-3
1.600000E-9	1.999017E-3
1.650000E-9	1.908231E-3
1.700000E-9	1.831148E-3
1.750000E-9	1.783186E-3
1.800000E-9	1.755779E-3
1.850000E-9	1.745501E-3
1.900000E-9	1.736936E-3
1.950000E-9	1.726659E-3
2.000000E-9	1.724946E-3
2.050000E-9	1.726659E-3
2.100000E-9	1.709530E-3
2.150000E-9	1.685549E-3
2.200000E-9	1.668420E-3
2.250000E-9	1.673559E-3
2.300000E-9	1.702679E-3
2.350000E-9	1.767771E-3
2.400000E-9	1.853418E-3
2.450000E-9	1.954482E-3
2.500000E-9	2.067537E-3
2.550000E-9	2.192582E-3
