Study Name	Tungsten_Kyocera
Sample Name	2024-02-05
Run Name	spot03
Operator	Angus+Samantha
Date	2/5/2024
Time	16:26
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	85
dt	50.000001E-12
time stamp (ms)	5:54:20 PM
	
Time	Amplitude
0.000000E+0	1.536519E-3
5.000000E-11	1.563927E-3
1.000000E-10	1.593047E-3
1.500000E-10	1.610176E-3
2.000000E-10	1.593047E-3
2.500000E-10	1.572492E-3
3.000000E-10	1.579343E-3
3.500000E-10	1.577630E-3
4.000000E-10	1.546797E-3
4.500000E-10	1.545085E-3
5.000000E-10	1.581057E-3
5.500000E-10	1.594760E-3
6.000000E-10	1.550224E-3
6.500000E-10	1.503974E-3
7.000000E-10	1.493697E-3
7.500000E-10	1.476567E-3
8.000000E-10	1.402911E-3
8.500000E-10	1.283004E-3
9.000000E-10	1.176802E-3
9.500000E-10	1.092867E-3
1.000000E-9	1.008933E-3
1.050000E-9	9.455536E-4
1.100000E-9	9.387018E-4
1.150000E-9	9.524053E-4
1.200000E-9	9.541181E-4
1.250000E-9	9.609698E-4
1.300000E-9	9.935157E-4
1.350000E-9	1.012358E-3
1.400000E-9	9.935155E-4
1.450000E-9	9.421271E-4
1.500000E-9	8.581926E-4
1.550000E-9	7.537029E-4
1.600000E-9	6.457872E-4
1.650000E-9	5.395845E-4
1.700000E-9	4.556501E-4
1.750000E-9	4.248172E-4
1.800000E-9	4.111137E-4
1.850000E-9	3.991232E-4
1.900000E-9	4.385211E-4
1.950000E-9	5.258815E-4
2.000000E-9	6.012513E-4
2.050000E-9	6.868987E-4
2.100000E-9	8.119439E-4
2.150000E-9	9.301372E-4
2.200000E-9	1.012359E-3
2.250000E-9	1.086015E-3
2.300000E-9	1.137404E-3
2.350000E-9	1.133978E-3
2.400000E-9	1.120274E-3
2.450000E-9	1.121987E-3
2.500000E-9	1.074024E-3
2.550000E-9	9.712475E-4
