run_name	run_number	grating_value[um]	SAW_freq[Hz]	SAW_freq_error[Hz]	A[Wm^-2]	A_err[Wm^-2]	alpha[m^2s^-1]	alpha_err[m2s-1]	beta[s^0.5]	beta_err[s^0.5]	B[Wm^-2]	B_err[Wm^-2]	theta	theta_err	tau[s]	tau_err[s]	C[Wm^-2]	C_err[Wm^-2]
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-11.txt	11	3.5217	7.52E+08	3652.2445	0.33093364	0.12767434	6.29E-05	1.50E-06	4.52E-07	1.09E-05	0.00946375	9.70E-05	-3.1263881	0.006898997	3.30E-08	4.41E-10	0.002075651	1.23E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-12.txt	12	3.5217	7.52E+08	3982.787	0.33493887	0.13996779	6.24E-05	1.63E-06	7.01E-07	1.17E-05	0.008591835	0.000104754	2.8517102	0.008198195	3.51E-08	5.62E-10	0.001871842	1.39E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-13.txt	13	3.5217	7.52E+08	3412.377	0.31778997	0.12754231	6.14E-05	1.55E-06	3.60E-07	1.15E-05	0.008574613	0.000101532	2.9700945	0.007964106	3.48E-08	5.41E-10	0.001948627	1.34E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-14.txt	14	3.5217	7.52E+08	3744.7432	0.31469558	0.11151236	5.65E-05	1.45E-06	2.54E-06	9.63E-06	0.008352839	0.00011282	3.1146519	0.009099568	3.64E-08	6.48E-10	0.002003842	1.54E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-15.txt	15	3.5217	7.51E+08	3335.8044	0.28578246	0.07080946	5.03E-05	1.02E-06	3.78E-06	6.74E-06	0.008673876	1.00E-04	2.7401839	0.00775841	3.59E-08	5.43E-10	0.002010791	1.36E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-16.txt	16	3.5217	7.51E+08	3296.8556	0.24854063	0.033847486	4.60E-05	5.36E-07	1.92E-06	4.08E-06	0.014733062	8.23E-05	2.6562771	0.003736484	2.45E-08	1.72E-10	0.001994132	8.56E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-17.txt	17	3.5217	7.51E+08	3462.1806	0.24829994	0.065667359	4.52E-05	1.09E-06	2.51E-06	7.76E-06	0.008373855	0.000136104	-2.482029	0.011003256	3.60E-08	7.74E-10	0.001778312	1.89E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-18.txt	18	3.5217	7.51E+08	3492.2558	0.23922335	0.044193478	4.36E-05	7.30E-07	2.21E-06	5.58E-06	0.009095849	9.77E-05	2.7677328	0.007231219	3.46E-08	4.87E-10	0.001989256	1.31E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-19.txt	19	3.5217	7.50E+08	3588.9874	0.22611045	0.039576988	4.27E-05	6.75E-07	4.13E-07	5.62E-06	0.009683615	9.69E-05	3.0232059	0.006731601	3.41E-08	4.46E-10	0.002031627	1.30E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-20.txt	20	3.5217	7.51E+08	3760.4814	0.22449407	0.025588969	4.08E-05	4.37E-07	1.76E-06	3.59E-06	0.014396979	8.44E-05	2.2083259	0.003914526	2.46E-08	1.81E-10	0.001783702	8.86E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-21.txt	21	3.5217	7.51E+08	3539.0254	0.21955234	0.037508047	4.15E-05	6.60E-07	6.08E-07	5.51E-06	0.008726062	9.57E-05	-3.0864845	0.00739576	3.62E-08	5.23E-10	0.002097383	1.34E-05
