Study Name	Tungsten_Kyocera
Sample Name	2024-02-05
Run Name	spot03
Operator	Angus+Samantha
Date	2/5/2024
Time	16:26
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	208
dt	50.000001E-12
time stamp (ms)	8:02:13 PM
	
Time	Amplitude
0.000000E+0	1.591335E-3
5.000000E-11	1.599900E-3
1.000000E-10	1.579344E-3
1.500000E-10	1.550224E-3
2.000000E-10	1.536521E-3
2.500000E-10	1.509114E-3
3.000000E-10	1.452587E-3
3.500000E-10	1.423467E-3
4.000000E-10	1.428606E-3
4.500000E-10	1.414902E-3
5.000000E-10	1.375505E-3
5.500000E-10	1.385782E-3
6.000000E-10	1.442309E-3
6.500000E-10	1.488559E-3
7.000000E-10	1.517679E-3
7.500000E-10	1.519392E-3
8.000000E-10	1.490272E-3
8.500000E-10	1.456013E-3
9.000000E-10	1.425180E-3
9.500000E-10	1.382356E-3
1.000000E-9	1.354949E-3
1.050000E-9	1.332681E-3
1.100000E-9	1.303560E-3
1.150000E-9	1.288144E-3
1.200000E-9	1.312125E-3
1.250000E-9	1.318977E-3
1.300000E-9	1.291569E-3
1.350000E-9	1.279579E-3
1.400000E-9	1.293282E-3
1.450000E-9	1.296708E-3
1.500000E-9	1.289856E-3
1.550000E-9	1.308699E-3
1.600000E-9	1.336106E-3
1.650000E-9	1.356662E-3
1.700000E-9	1.377218E-3
1.750000E-9	1.406338E-3
1.800000E-9	1.433745E-3
1.850000E-9	1.476569E-3
1.900000E-9	1.512541E-3
1.950000E-9	1.515967E-3
2.000000E-9	1.473143E-3
2.050000E-9	1.399486E-3
2.100000E-9	1.306987E-3
2.150000E-9	1.200784E-3
2.200000E-9	1.077451E-3
2.250000E-9	9.404152E-4
2.300000E-9	7.948145E-4
2.350000E-9	6.680564E-4
2.400000E-9	5.806962E-4
2.450000E-9	5.395856E-4
2.500000E-9	5.344470E-4
2.550000E-9	5.584285E-4
