Time (mins)	SAW_speed[m/s]	SAW_speed_err[m/s]
164.8333333	2536.726219	0.015738944
165.8833333	2537.249725	0.016239903
166.9166667	2537.23218	0.016193934
167.95	2536.227969	0.015584323
168.9833333	2536.11867	0.016271057
170.0333333	2535.563577	0.016812275
171.0666667	2535.785147	0.016285823
172.1	2534.263338	0.016060205
173.1333333	2534.854687	0.017677964
174.1666667	2533.994723	0.017554454
175.2	2533.71302	0.016769213
176.2333333	2534.834383	0.017498034
177.2666667	2532.941415	0.016493442
178.3	2533.914747	0.017927104
179.3333333	2533.588864	0.017246018
180.3833333	2532.859069	0.016713983
181.4166667	2531.24692	0.017734141
182.45	2531.627452	0.016517925
183.4833333	2531.327568	0.016696637
184.5166667	2530.747184	0.018067902
185.5666667	2530.551294	0.016938231
186.5833333	2531.427918	0.017828131
187.6166667	2530.242461	0.018474068
188.65	2530.18866	0.01724221
189.6833333	2529.130719	0.018471278
190.7166667	2529.640041	0.018125262
191.75	2528.646972	0.018636395
192.8	2528.746968	0.019013793
193.8333333	2528.464912	0.018214675
194.8666667	2527.645166	0.019670306
195.9	2527.120705	0.017999936
196.95	2527.371563	0.019004587
197.9666667	2527.222647	0.018405947
199.0166667	2527.602543	0.02109017
200.05	2526.983214	0.019257491
201.0833333	2526.657084	0.018820488
202.1166667	2524.914094	0.018159816
203.15	2524.479867	0.018487151
204.1833333	2529.956903	0.020056792
205.2333333	2525.847632	0.019434736
206.2666667	2522.248531	0.019033212
207.3	2521.445763	0.021322484
208.3333333	2520.269361	0.021358942
209.3666667	2519.236463	0.025419211
210.4166667	2517.347669	0.025586409
211.45	2517.570902	0.035852815
212.4833333	2517.221002	0.039198419
213.5166667	2513.387314	0.045283691
214.5666667	2513.657733	0.050649622
215.6	2514.414375	0.053871042
216.6333333	2512.290393	0.058531662
217.6833333	2511.962388	0.057024892
218.7166667	2509.80551	0.057575071
219.7666667	2513.478361	0.066989974
220.8	2511.272457	0.032931743
221.8333333	2512.159021	0.036997797
222.8833333	2510.067333	0.036335291
223.9166667	2507.660057	0.03915708
224.9666667	2508.027501	0.037613041
225.9833333	2507.150452	0.04512156
227.0333333	2506.90115	0.04149713
228.0666667	2508.386067	0.044842203
229.1	2508.453804	0.042592586
230.15	2507.920607	0.044020232
231.1833333	2506.386417	0.044748181
232.2333333	2504.993609	0.047387593
233.2666667	2503.158793	0.050612204
234.3	2504.30428	0.053418236
235.35	2503.706988	0.054322773
236.3833333	2503.583893	0.050589652
237.4333333	2502.428715	0.056126266
238.4666667	2502.62793	0.053731524
239.5	2502.086137	0.049453727
240.5333333	2502.448947	0.054094228
241.5833333	2501.733761	0.056652999
242.6166667	2502.175805	0.052146298
243.65	2500.648619	0.064799961
244.7	2501.52167	0.063333663
245.7333333	2500.632737	0.057748861
246.7666667	2501.332925	0.065546775
247.8166667	2497.885924	0.062539644
248.85	2499.204946	0.060829745
249.9	2499.463621	0.060081636
250.9333333	2500.436457	0.062992922
251.9666667	2498.678186	0.063608105
253.0166667	2499.277317	0.054354373
254.05	2496.914644	0.07135867
255.1	2497.970852	0.067105511
256.1333333	2495.737995	0.067764697
257.1833333	2499.179018	0.068640174
258.2166667	2496.704535	0.063343255
259.2666667	2494.834276	0.065013724
260.3166667	2498.847229	0.066558759
261.3333333	2496.688122	0.059178083
262.3666667	2495.975836	0.07169575
263.4166667	2495.337548	0.063164855
264.4666667	2497.052772	0.068387061
265.5	2497.842593	0.065467782
266.5333333	2496.338717	0.067748356
267.5666667	2495.953976	0.060379056
268.6166667	2492.499087	0.069998368
269.65	2496.820732	0.06358735
270.7	2497.568849	0.064242983
271.7333333	2496.632694	0.072398558
272.7666667	2495.91008	0.069483152
273.8166667	2498.672067	0.061639524
274.8666667	2500.480496	0.064179874
275.9	2499.842809	0.061537253
276.9333333	2497.487105	0.06017842
277.9833333	2497.041771	0.063203009
279.0166667	2496.45877	0.071050961
