Time (mins)	SAW_speed[m/s]	SAW_speed_err[m/s]
22.66666667	2541.464829	0.019747064
23.7	2541.299501	0.020316841
24.73333333	2539.611407	0.030570478
25.76666667	2532.677823	0.084233187
31.05	2542.684597	0.019922067
32.08333333	2544.00132	0.019803732
33.11666667	2541.125117	0.022819205
34.16666667	2539.985113	0.021583787
35.2	2541.339825	0.025485032
36.23333333	2542.395537	0.027899326
37.28333333	2543.281182	0.028456116
38.31666667	2542.815757	0.035569434
39.35	2542.54364	0.041415963
40.4	2541.928981	0.050109303
43.1	2543.352951	0.02355133
44.15	2543.710633	0.024961013
45.18333333	2548.154099	0.025542495
46.21666667	2545.803099	0.024701926
47.25	2554.482928	0.068982066
137.3833333	2554.474191	0.015046555
53.23333333	2560.416404	0.014944429
54.26666667	2560.289206	0.015363686
55.3	2560.763085	0.015505638
56.33333333	2561.914656	0.014867773
57.36666667	2561.79952	0.015597679
58.41666667	2563.419098	0.015485937
59.45	2562.628887	0.015031577
60.48333333	2563.726516	0.015209079
61.51666667	2562.706918	0.014705336
62.55	2563.325999	0.015574883
63.58333333	2563.35748	0.015231714
64.63333333	2564.00691	0.015466211
65.66666667	2564.834438	0.015314
66.7	2564.652201	0.015966098
67.73333333	2565.530771	0.014864637
68.76666667	2565.46031	0.015272398
69.8	2570.546202	0.015687433
70.83333333	2563.076131	0.015532649
71.86666667	2563.117198	0.014845867
72.9	2564.134638	0.014492479
73.93333333	2565.393917	0.01657828
74.96666667	2565.239164	0.01494382
76	2565.23255	0.014879882
77.05	2565.031	0.014780682
78.06666667	2565.436151	0.015384453
79.11666667	2566.496568	0.014710633
80.16666667	2564.553584	0.015751916
81.18333333	2565.275951	0.014769673
82.21666667	2564.579582	0.01452316
83.25	2564.644278	0.015381982
84.3	2564.334631	0.014963641
85.33333333	2564.044475	0.014573967
86.36666667	2565.43417	0.014379349
87.4	2564.846075	0.015141853
88.43333333	2564.50997	0.01499683
89.46666667	2564.270679	0.014403438
90.5	2564.791036	0.014952954
91.53333333	2564.330811	0.015009368
92.58333333	2564.562003	0.014963124
93.61666667	2565.454438	0.014911221
94.65	2563.568438	0.014739248
95.68333333	2563.025089	0.015283318
96.71666667	2563.110583	0.014847653
97.75	2562.566703	0.015348203
98.78333333	2563.745157	0.01524943
99.81666667	2561.680104	0.014633941
100.8666667	2561.220551	0.0152294
101.8833333	2562.805571	0.015280141
102.9333333	2562.140789	0.014535246
103.95	2561.496205	0.014793186
105	2561.386234	0.015976286
106.0333333	2560.94564	0.015562607
107.0666667	2561.988937	0.015720951
108.1	2562.024451	0.015105567
109.1333333	2560.568575	0.014759251
110.1666667	2561.302579	0.01484714
111.2	2561.481278	0.014938436
112.2333333	2560.903264	0.014810702
113.2666667	2561.634156	0.015030671
114.3166667	2560.229499	0.014846548
115.35	2560.609394	0.014615783
116.3833333	2559.645118	0.015777108
117.4166667	2558.840794	0.014601939
118.45	2559.404305	0.014289504
119.4833333	2559.18277	0.014708863
120.5166667	2559.470769	0.015075199
121.55	2558.838601	0.015043167
122.6	2557.869903	0.014746695
123.6333333	2559.396134	0.01458927
124.6833333	2557.447385	0.014939835
125.7	2558.314529	0.014844072
126.7333333	2557.360016	0.015123848
127.7666667	2557.406035	0.014919415
128.8	2558.051751	0.015387487
129.85	2556.849562	0.01573748
130.8833333	2556.695376	0.014404029
131.9166667	2557.254077	0.015419417
132.95	2556.138267	0.015373592
133.9833333	2556.215519	0.015465674
135.05	2556.496338	0.016074567
136.1166667	2557.081638	0.016840268
139.7833333	2554.938908	0.015701357
140.9333333	2554.162953	0.015154761
142	2554.75317	0.015872455
143.05	2553.375042	0.015972293
144.0666667	2553.647406	0.014742334
145.1166667	2547.991388	0.015517479
146.1666667	2547.510965	0.015305475
147.2	2546.384049	0.015067747
148.2333333	2545.905077	0.014332267
149.2666667	2546.071573	0.015892393
150.3166667	2543.98802	0.015509864
151.35	2543.556022	0.014880821
152.4	2543.420759	0.014807554
153.4333333	2543.352244	0.016509733
154.4666667	2541.880309	0.015196136
155.5	2541.360836	0.01558813
156.5333333	2541.568894	0.015710384
157.5833333	2541.039481	0.015082884
158.6	2540.477031	0.015030238
159.65	2540.196354	0.015927958
160.6833333	2539.805776	0.015341831
161.7166667	2539.248208	0.015925799
162.7666667	2538.546887	0.016536448
163.8	2537.128399	0.016544881
