Fluence[ionscm-2]	SAW_speed[m/s]	alpha[m^2s^-1]	alpha_err[m2s-1]		
1.72199E+17	2564.044475	4.27591E-05	5.07288E-07
1.7702E+17	2565.43417	4.23532E-05	5.04226E-07
1.86715E+17	2564.846075	4.50068E-05	8.26189E-07
1.91698E+17	2564.50997	4.40461E-05	6.32271E-07
1.96599E+17	2564.270679	4.40773E-05	8.37183E-07
2.01528E+17	2564.791036	4.61678E-05	1.01348E-06
2.06483E+17	2564.330811	4.46809E-05	7.75678E-07
2.11412E+17	2564.562003	4.49542E-05	7.88205E-07
2.16421E+17	2565.454438	4.51169E-05	7.80808E-07
2.21457E+17	2563.568438	4.38948E-05	7.67804E-07
2.26574E+17	2563.025089	4.39183E-05	5.42642E-07
2.31637E+17	2563.110583	4.47077E-05	9.01702E-07
2.36673E+17	2562.566703	4.31358E-05	5.16E-07
2.41736E+17	2563.745157	4.19161E-05	4.93752E-07
2.46799E+17	2561.680104	4.48657E-05	8.77184E-07
2.51916E+17	2561.220551	4.39282E-05	5.78611E-07
2.5706E+17	2562.805571	4.42641E-05	8.26473E-07
2.62339E+17	2562.140789	4.52785E-05	8.64755E-07
2.67429E+17	2561.496205	4.19825E-05	5.5083E-07
2.72519E+17	2561.386234	4.43648E-05	8.38518E-07
2.77663E+17	2560.94564	4.26051E-05	5.34282E-07
2.82834E+17	2561.988937	4.27437E-05	5.45813E-07
2.87951E+17	2562.024451	4.56413E-05	8.72116E-07
2.93095E+17	2560.568575	4.51146E-05	8.63715E-07
2.98319E+17	2561.302579	4.50599E-05	8.7262E-07
3.03517E+17	2561.481278	4.2776E-05	5.6217E-07
3.08742E+17	2560.903264	4.30154E-05	5.56351E-07
3.13939E+17	2561.634156	4.51755E-05	8.35548E-07
3.19191E+17	2560.229499	4.55719E-05	8.48501E-07
3.24254E+17	2560.609394	4.54667E-05	5.34148E-07
3.29398E+17	2559.645118	4.47374E-05	8.72711E-07
3.39767E+17	2558.840794	4.64188E-05	8.34363E-07
3.44938E+17	2559.404305	4.36201E-05	5.70568E-07
3.50189E+17	2559.18277	4.53821E-05	8.22884E-07
3.55468E+17	2559.470769	4.3292E-05	5.59676E-07
3.60773E+17	2558.838601	4.41042E-05	7.71898E-07
3.66106E+17	2557.869903	4.53529E-05	9.25138E-07
3.71303E+17	2559.396134	4.53882E-05	8.41769E-07
