fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
6.600000 68.786613 68.753714
6.650000 71.805190 68.235006
6.700000 74.630374 67.720460
6.750000 77.094014 67.210039
6.800000 79.047269 66.703708
6.850000 80.368047 66.201430
6.900000 80.967061 65.703169
6.950000 80.792186 65.208889
7.000000 79.830920 64.718556
7.050000 78.110829 64.232134
7.100000 75.697955 63.749589
7.150000 72.693291 63.270887
7.200000 69.227503 62.795994
7.250000 65.454166 62.324877
7.300000 61.541884 61.857503
7.350000 57.665684 61.393839
7.400000 53.998119 60.933852
7.450000 50.700548 60.477511
7.500000 47.915016 60.024783
7.550000 45.757158 59.575637
7.600000 44.310465 59.130043
7.650000 43.622215 58.687969
7.700000 43.701245 58.249384
7.750000 44.517689 57.814259
7.800000 46.004670 57.382564
7.850000 48.061861 56.954269
7.900000 50.560723 56.529344
7.950000 53.351139 56.107761
8.000000 56.269120 55.689491
8.050000 59.145167 55.274505
8.100000 61.812877 54.862776
8.150000 64.117349 54.454274
8.200000 65.922972 54.048974
8.250000 67.120192 53.646846
8.300000 67.630934 53.247865
8.350000 67.412403 52.852003
8.400000 66.459083 52.459233
8.450000 64.802834 52.069530
8.500000 62.511100 51.682867
8.550000 59.683330 51.299219
8.600000 56.445781 50.918559
8.650000 52.945009 50.540863
8.700000 49.340341 50.166106
8.750000 45.795759 49.794262
8.800000 42.471567 49.425307
8.850000 39.516298 49.059216
8.900000 37.059249 48.695966
8.950000 35.204024 48.335533
9.000000 34.023415 47.977892
9.050000 33.555859 47.623021
9.100000 33.803656 47.270896
9.150000 34.733024 46.921493
9.200000 36.275979 46.574792
9.250000 38.333938 46.230767
9.300000 40.782854 45.889398
9.350000 43.479613 45.550663
9.400000 46.269372 45.214538
9.450000 48.993448 44.881003
9.500000 51.497371 44.550035
9.550000 53.638679 44.221614
9.600000 55.294073 43.895718
9.650000 56.365564 43.572327
9.700000 56.785314 43.251419
9.750000 56.518925 42.932975
9.800000 55.567019 42.616972
9.850000 53.965038 42.303393
9.900000 51.781287 41.992215
9.950000 49.113313 41.683421
10.000000 46.082833 41.376989
10.050000 42.829454 41.072900
10.100000 39.503520 40.771136
10.150000 36.258450 40.471677
10.200000 33.242955 40.174504
10.250000 30.593536 39.879598
10.300000 28.427625 39.586941
10.350000 26.837738 39.296515
10.400000 25.886903 39.008301
10.450000 25.605612 38.722280
10.500000 25.990432 38.438436
10.550000 27.004338 38.156750
10.600000 28.578748 37.877205
10.650000 30.617139 37.599783
10.700000 33.000072 37.324467
10.750000 35.591340 37.051240
10.800000 38.244948 36.780084
10.850000 40.812540 36.510984
10.900000 43.150928 36.243922
10.950000 45.129310 35.978882
11.000000 46.635831 35.715848
11.050000 47.583158 35.454803
11.100000 47.912776 35.195730
11.150000 47.597822 34.938616
11.200000 46.644283 34.683442
11.250000 45.090543 34.430194
11.300000 43.005283 34.178857
11.350000 40.483857 33.929414
11.400000 37.643342 33.681851
11.450000 34.616504 33.436153
11.500000 31.545002 33.192304
11.550000 28.572178 32.950289
11.600000 25.835788 32.710095
11.650000 23.461056 32.471706
11.700000 21.554395 32.235107
11.750000 20.198110 32.000286
11.800000 19.446344 31.767226
11.850000 19.322469 31.535915
11.900000 19.818055 31.306339
11.950000 20.893440 31.078482
12.000000 22.479889 30.852333
12.050000 24.483213 30.627877
12.100000 26.788654 30.405100
12.150000 29.266790 30.183989
12.200000 31.780162 29.964532
12.250000 34.190261 29.746715
12.300000 36.364551 29.530524
12.350000 38.183144 29.315948
12.400000 39.544810 29.102973
12.450000 40.372011 28.891586
12.500000 40.614713 28.681775
12.550000 40.252788 28.473528
12.600000 39.296886 28.266832
12.650000 37.787755 28.061675
12.700000 35.794028 27.858044
12.750000 33.408620 27.655929
12.800000 30.743909 27.455316
12.850000 27.925949 27.256194
12.900000 25.088029 27.058551
