run_number	dpa	alpha[m^2s^-1]	alpha_err[m2s-1]	SAW_speed[ms-1]	SAW_speed_err[ms-1]
39	0.934028269	3.63675E-05	3.44514E-07	2641.671473	0.013829745
40	0.968621909	3.80165E-05	5.33655E-07	2642.491783	0.014004434
41	1.003215547	3.81611E-05	6.95985E-07	2642.18226	0.015558768
42	1.037809187	3.67411E-05	3.33452E-07	2642.116193	0.012922757
43	1.072402827	3.7643E-05	6.92944E-07	2642.856138	0.014100364
44	1.106996467	3.68018E-05	1.15348E-07	2641.576598	0.014017973
45	1.141590106	3.64517E-05	3.32434E-07	2641.041793	0.013843492
46	1.176183746	3.61059E-05	1.04854E-07	2641.786456	0.013571373
47	1.210777385	3.74363E-05	6.04482E-07	2641.838014	0.013452216
48	1.245371024	3.76541E-05	6.27271E-07	2642.119011	0.014123353
49	1.279964664	3.69716E-05	5.26893E-07	2642.150107	0.01379996
50	1.314558304	3.68408E-05	5.30921E-07	2642.520625	0.015093281
51	1.349151944	3.60979E-05	1.12531E-07	2642.06453	0.014710096
52	1.383745583	3.75989E-05	6.20898E-07	2641.906758	0.014173718
53	1.418339222	3.59782E-05	3.27564E-07	2641.755325	0.013943545
54	1.452932862	3.75134E-05	5.76818E-07	2642.847263	0.012428172
55	1.487526502	3.62431E-05	1.1035E-07	2641.046688	0.014976409
56	1.522120141	3.58968E-05	1.11703E-07	2642.020403	0.013448774
57	1.556713781	3.6427E-05	3.45023E-07	2642.053683	0.015047609
58	1.591307421	3.56144E-05	3.35438E-07	2641.71155	0.012983415
59	1.625901061	3.57446E-05	1.07712E-07	2642.962	0.01251183
60	1.660494699	3.59569E-05	3.28178E-07	2641.556701	0.013832471
61	1.695088339	3.6462E-05	3.596E-07	2641.661542	0.01448321
62	1.729681979	3.73361E-05	6.44705E-07	2642.707909	0.013783485
63	1.764275618	3.68507E-05	5.86198E-07	2641.753916	0.014752815
64	1.798869258	3.55247E-05	3.22497E-07	2641.713276	0.014659001
65	1.833462898	3.66189E-05	4.86194E-07	2641.360613	0.014105113
66	1.868056537	3.55923E-05	3.3692E-07	2640.337207	0.013397392
67	1.902650176	3.71411E-05	5.07678E-07	2641.923591	0.012654744
69	1.971837456	3.61187E-05	3.25423E-07	2641.445873	0.012635578
70	2.006431096	3.67793E-05	6.33261E-07	2641.426081	0.01421418
71	2.041024735	3.55519E-05	3.32731E-07	2641.312929	0.013767233
72	2.075618374	3.58952E-05	1.08747E-07	2643.076173	0.013927869
73	2.110212014	3.66837E-05	5.57955E-07	2641.900806	0.013831464
74	2.144805654	3.66846E-05	5.42733E-07	2642.081293	0.013071956
75	2.179399293	3.65882E-05	5.90697E-07	2641.73511	0.014915363
76	2.213992933	3.58626E-05	1.05982E-07	2640.818271	0.012786513
77	2.248586573	3.58638E-05	3.25365E-07	2642.317846	0.01325797
78	2.283180212	3.60142E-05	5.30507E-07	2641.468377	0.013636955
79	2.317773851	3.67058E-05	5.89283E-07	2642.172259	0.015324942
80	2.352367491	3.59243E-05	3.2141E-07	2642.279882	0.013957313
81	2.386961131	3.63494E-05	5.4356E-07	2641.898834	0.013238125
82	2.42155477	3.57731E-05	3.42713E-07	2641.550679	0.013705618
83	2.45614841	3.61033E-05	5.18423E-07	2641.348674	0.013034511
84	2.49074205	3.60538E-05	4.82906E-07	2641.728278	0.012373083
85	2.525335689	3.68074E-05	6.59925E-07	2642.414094	0.013178401
86	2.559929328	3.66302E-05	4.89464E-07	2642.884523	0.013698014
87	2.594522968	3.56399E-05	1.08134E-07	2642.074355	0.012581201
88	2.629116608	3.70055E-05	5.93194E-07	2641.644004	0.013721618
89	2.663710248	3.61876E-05	5.57341E-07	2641.886402	0.014910044
90	2.698303887	3.55946E-05	3.3003E-07	2641.624458	0.013458005
91	2.732897526	3.50066E-05	1.04851E-07	2641.956062	0.013662619
92	2.767491166	3.55577E-05	3.20597E-07	2642.338483	0.014207235
93	2.802084806	3.66414E-05	6.33435E-07	2642.082843	0.014295509
94	2.836678445	3.5883E-05	3.40625E-07	2642.009803	0.014275405
95	2.871272085	3.60276E-05	4.99953E-07	2641.951659	0.014003096
96	2.905865725	3.69213E-05	5.78728E-07	2641.854284	0.013595108
97	2.940459363	3.60163E-05	5.2501E-07	2641.86168	0.013616685
98	2.975053003	3.52959E-05	3.24969E-07	2641.544304	0.013844052
99	3.009646643	3.67701E-05	6.74891E-07	2641.957998	0.013756058
100	3.044240283	3.59651E-05	5.16065E-07	2642.011	0.013428365
101	3.078833922	3.55716E-05	3.20611E-07	2642.332038	0.013219485
102	3.113427562	3.51346E-05	1.09304E-07	2642.658394	0.014242259
103	3.148021202	3.62087E-05	5.85187E-07	2642.923367	0.014624062
104	3.182614841	3.52391E-05	1.06501E-07	2641.811531	0.013007512
105	3.21720848	3.53711E-05	3.1985E-07	2642.09862	0.012816384
106	3.25180212	3.63573E-05	6.18312E-07	2642.216597	0.014226085
107	3.28639576	3.66449E-05	5.54625E-07	2642.317811	0.014511803
