Depth[um]	Dpa
0.02	9.83
0.04	10.03
0.06	10.53
0.08	11.01
0.10	12.01
0.12	11.61
0.14	12.04
0.16	13.06
0.18	13.12
0.20	13.50
0.22	13.46
0.24	14.20
0.26	14.22
0.28	13.77
0.30	14.33
0.32	14.68
0.34	14.29
0.36	14.22
0.38	13.70
0.40	12.97
0.42	12.88
0.44	12.34
0.46	12.34
0.48	11.86
0.50	11.12
0.52	10.44
0.54	9.82
0.56	9.47
0.58	9.07
0.60	8.49
0.62	7.60
0.64	7.07
0.66	6.12
0.68	5.92
0.70	5.14
0.72	4.81
0.74	4.05
0.76	3.80
0.78	3.35
0.80	2.72
0.82	2.46
0.84	2.02
0.86	1.63
0.88	1.35
0.90	1.24
0.92	0.95
0.94	0.79
0.96	0.65
0.98	0.43
1.00	0.31
1.02	0.26
1.04	0.20
1.06	0.15
1.08	0.11
1.10	0.09
1.12	0.07
1.14	0.04
1.16	0.02
1.18	0.01
1.20	0.01
1.22	0.00
1.24	0.00
1.26	0.00
1.28	0.00
1.30	0.00
1.32	0.00
1.34	0.00
1.36	0.00
1.38	0.00
1.40	0.00
1.42	0.00
1.44	0.00
1.46	0.00
1.48	0.00
1.50	0.00
1.52	0.00
1.54	0.00
1.56	0.00
1.58	0.00
1.60	0.00
1.62	0.00
1.64	0.00
1.66	0.00
1.68	0.00
1.70	0.00
1.72	0.00
1.74	0.00
1.76	0.00
1.78	0.00
1.80	0.00
1.82	0.00
1.84	0.00
1.86	0.00
1.88	0.00
1.90	0.00
1.92	0.00
1.94	0.00
1.96	0.00
1.98	0.00
2.00	0.00
