Temperature_[C]	Avg_SAW_speed_[ms-1]	avg_speed_err	avg_therm_diff_[m2s-1]	avg_TD_err_[m2s-1]
25	2643.65208252	0.90652603	0.00006656	0.00000354
50	2638.19727302	1.25082733	0.00006416	0.00000282
100	2627.07132046	2.68937445	0.00005880	0.00000169
150	2612.24228702	2.74883402	0.00005547	0.00000462
200	2600.78526649	3.31399791	NaN	NaN
250	2594.26936989	3.67621967	0.00005992	0.00000310
300	2581.84975209	3.91177414	0.00005722	0.00000080
350	2576.73757355	5.11849389	0.00005461	0.00000145
400	2571.27371108	2.42210084	0.00005162	0.00000149
450	2562.61681049	12.50972813	0.00005151	0.00000139
500	2556.61693790	4.79026679	0.00004854	0.00000167
550	2549.82015069	8.72521919	0.00004207	0.00000245
600	2546.90886806	5.16520201	0.00004286	0.00000120
650	2537.61299038	4.10132371	NaN	NaN
700	2527.76245611	2.85688736	0.00004249	0.00000102
750	2522.99769589	5.51144363	0.00004049	0.00000114
800	2509.25896018	8.99246931	0.00004108	0.00000214
