Study Name	Tungsten_Fuzz
Sample Name	2024-05-05
Run Name	spot4
Operator	Angus
Date	5/5/2024
Time	19:23
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	32
dt	50.000001E-12
time stamp (ms)	7:56:22 PM
	
Time	Amplitude
0.000000E+0	-4.761989E-3
5.000000E-11	-4.767128E-3
1.000000E-10	-4.743147E-3
1.500000E-10	-4.690046E-3
2.000000E-10	-4.630092E-3
2.500000E-10	-4.571852E-3
3.000000E-10	-4.513612E-3
3.500000E-10	-4.465649E-3
4.000000E-10	-4.427964E-3
4.500000E-10	-4.383427E-3
5.000000E-10	-4.350881E-3
5.500000E-10	-4.347456E-3
6.000000E-10	-4.349168E-3
6.500000E-10	-4.347456E-3
7.000000E-10	-4.366298E-3
7.500000E-10	-4.410835E-3
8.000000E-10	-4.460510E-3
8.500000E-10	-4.518751E-3
9.000000E-10	-4.582130E-3
9.500000E-10	-4.636944E-3
1.000000E-9	-4.686620E-3
1.050000E-9	-4.739721E-3
1.100000E-9	-4.763702E-3
1.150000E-9	-4.758564E-3
1.200000E-9	-4.746573E-3
1.250000E-9	-4.722592E-3
1.300000E-9	-4.662638E-3
1.350000E-9	-4.580417E-3
1.400000E-9	-4.484492E-3
1.450000E-9	-4.371437E-3
1.500000E-9	-4.263521E-3
1.550000E-9	-4.174448E-3
1.600000E-9	-4.083661E-3
1.650000E-9	-3.992875E-3
1.700000E-9	-3.944912E-3
1.750000E-9	-3.944912E-3
1.800000E-9	-3.956903E-3
1.850000E-9	-3.982597E-3
1.900000E-9	-4.045976E-3
1.950000E-9	-4.138476E-3
2.000000E-9	-4.239540E-3
2.050000E-9	-4.342317E-3
2.100000E-9	-4.438242E-3
2.150000E-9	-4.510186E-3
2.200000E-9	-4.551297E-3
2.250000E-9	-4.575278E-3
2.300000E-9	-4.594120E-3
2.350000E-9	-4.599259E-3
2.400000E-9	-4.580417E-3
2.450000E-9	-4.537593E-3
2.500000E-9	-4.487917E-3
2.550000E-9	-4.448520E-3
2.600000E-9	-4.421112E-3
2.650000E-9	-4.403983E-3
2.700000E-9	-4.402270E-3
2.750000E-9	-4.427964E-3
2.800000E-9	-4.467362E-3
2.850000E-9	-4.513612E-3
2.900000E-9	-4.568426E-3
2.950000E-9	-4.624953E-3
3.000000E-9	-4.666064E-3
3.050000E-9	-4.693471E-3
3.100000E-9	-4.710601E-3
3.150000E-9	-4.705462E-3
3.200000E-9	-4.671203E-3
3.250000E-9	-4.621528E-3
3.300000E-9	-4.561574E-3
3.350000E-9	-4.486204E-3
3.400000E-9	-4.409122E-3
3.450000E-9	-4.338891E-3
3.500000E-9	-4.284076E-3
3.550000E-9	-4.249817E-3
3.600000E-9	-4.224123E-3
3.650000E-9	-4.212132E-3
3.700000E-9	-4.234401E-3
3.750000E-9	-4.270373E-3
3.800000E-9	-4.287502E-3
3.850000E-9	-4.289215E-3
3.900000E-9	-4.294354E-3
3.950000E-9	-4.287502E-3
4.000000E-9	-4.266947E-3
4.050000E-9	-4.253243E-3
4.100000E-9	-4.236114E-3
4.150000E-9	-4.203568E-3
4.200000E-9	-4.179586E-3
4.250000E-9	-4.184725E-3
4.300000E-9	-4.208707E-3
4.350000E-9	-4.254956E-3
4.400000E-9	-4.328613E-3
4.450000E-9	-4.415974E-3
4.500000E-9	-4.494769E-3
4.550000E-9	-4.585556E-3
4.600000E-9	-4.700323E-3
4.650000E-9	-4.803100E-3
4.700000E-9	-4.859628E-3
4.750000E-9	-4.895600E-3
4.800000E-9	-4.938423E-3
4.850000E-9	-4.958979E-3
4.900000E-9	-4.943562E-3
4.950000E-9	-4.923007E-3
5.000000E-9	-4.897313E-3
5.050000E-9	-4.845924E-3
5.100000E-9	-4.779119E-3
5.150000E-9	-4.719166E-3
5.200000E-9	-4.660925E-3
5.250000E-9	-4.595833E-3
5.300000E-9	-4.532454E-3
5.350000E-9	-4.462223E-3
5.400000E-9	-4.400557E-3
5.450000E-9	-4.364585E-3
5.500000E-9	-4.344030E-3
5.550000E-9	-4.332039E-3
5.600000E-9	-4.337178E-3
5.650000E-9	-4.350881E-3
5.700000E-9	-4.356020E-3
5.750000E-9	-4.380002E-3
5.800000E-9	-4.431390E-3
5.850000E-9	-4.482779E-3
5.900000E-9	-4.534167E-3
5.950000E-9	-4.600972E-3
6.000000E-9	-4.657499E-3
6.050000E-9	-4.678055E-3
6.100000E-9	-4.700323E-3
6.150000E-9	-4.734582E-3
6.200000E-9	-4.726018E-3
6.250000E-9	-4.671203E-3
6.300000E-9	-4.623240E-3
6.350000E-9	-4.585556E-3
6.400000E-9	-4.513612E-3
6.450000E-9	-4.431390E-3
6.500000E-9	-4.385140E-3
