Study Name	Tungsten_Fuzz
Sample Name	2024-05-05
Run Name	spot4
Operator	Angus
Date	5/5/2024
Time	19:23
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	28
dt	50.000001E-12
time stamp (ms)	7:52:14 PM
	
Time	Amplitude
0.000000E+0	9.095707E-4
5.000000E-11	9.404038E-4
1.000000E-10	1.044894E-3
1.500000E-10	1.176791E-3
2.000000E-10	1.339521E-3
2.500000E-10	1.527946E-3
3.000000E-10	1.682111E-3
3.500000E-10	1.786601E-3
4.000000E-10	1.879100E-3
4.500000E-10	1.930489E-3
5.000000E-10	1.904795E-3
5.500000E-10	1.851693E-3
6.000000E-10	1.807157E-3
6.500000E-10	1.731787E-3
7.000000E-10	1.635862E-3
7.500000E-10	1.567344E-3
8.000000E-10	1.536510E-3
8.500000E-10	1.539936E-3
9.000000E-10	1.594751E-3
9.500000E-10	1.706092E-3
1.000000E-9	1.851693E-3
1.050000E-9	2.021275E-3
1.100000E-9	2.173728E-3
1.150000E-9	2.288495E-3
1.200000E-9	2.370717E-3
1.250000E-9	2.406689E-3
1.300000E-9	2.370717E-3
1.350000E-9	2.288495E-3
1.400000E-9	2.189144E-3
1.450000E-9	2.043544E-3
1.500000E-9	1.848267E-3
1.550000E-9	1.675259E-3
1.600000E-9	1.550214E-3
1.650000E-9	1.430308E-3
1.700000E-9	1.330956E-3
1.750000E-9	1.293272E-3
1.800000E-9	1.317253E-3
1.850000E-9	1.363502E-3
1.900000E-9	1.418317E-3
1.950000E-9	1.481696E-3
2.000000E-9	1.539936E-3
2.050000E-9	1.586186E-3
2.100000E-9	1.599890E-3
2.150000E-9	1.594751E-3
2.200000E-9	1.608454E-3
2.250000E-9	1.634149E-3
2.300000E-9	1.639287E-3
2.350000E-9	1.620445E-3
2.400000E-9	1.594751E-3
2.450000E-9	1.569056E-3
2.500000E-9	1.546788E-3
2.550000E-9	1.524520E-3
2.600000E-9	1.498826E-3
2.650000E-9	1.473131E-3
2.700000E-9	1.440585E-3
2.750000E-9	1.402900E-3
2.800000E-9	1.377206E-3
2.850000E-9	1.370354E-3
2.900000E-9	1.370354E-3
2.950000E-9	1.408039E-3
3.000000E-9	1.503964E-3
3.050000E-9	1.606741E-3
3.100000E-9	1.688963E-3
3.150000E-9	1.808869E-3
3.200000E-9	1.988729E-3
3.250000E-9	2.149747E-3
3.300000E-9	2.271366E-3
3.350000E-9	2.380995E-3
3.400000E-9	2.464929E-3
3.450000E-9	2.483772E-3
3.500000E-9	2.451226E-3
3.550000E-9	2.380995E-3
3.600000E-9	2.274792E-3
3.650000E-9	2.137756E-3
3.700000E-9	1.975026E-3
3.750000E-9	1.786601E-3
3.800000E-9	1.598177E-3
3.850000E-9	1.444011E-3
3.900000E-9	1.324105E-3
3.950000E-9	1.245309E-3
4.000000E-9	1.216189E-3
4.050000E-9	1.229892E-3
4.100000E-9	1.252161E-3
4.150000E-9	1.279568E-3
4.200000E-9	1.342947E-3
4.250000E-9	1.433733E-3
4.300000E-9	1.519381E-3
4.350000E-9	1.608454E-3
4.400000E-9	1.712944E-3
4.450000E-9	1.793453E-3
4.500000E-9	1.827712E-3
4.550000E-9	1.855119E-3
4.600000E-9	1.896230E-3
4.650000E-9	1.923637E-3
4.700000E-9	1.930489E-3
4.750000E-9	1.930489E-3
4.800000E-9	1.927063E-3
4.850000E-9	1.927063E-3
4.900000E-9	1.921924E-3
4.950000E-9	1.908221E-3
5.000000E-9	1.916785E-3
5.050000E-9	1.956183E-3
5.100000E-9	2.004146E-3
5.150000E-9	2.065812E-3
5.200000E-9	2.172015E-3
5.250000E-9	2.303912E-3
5.300000E-9	2.418680E-3
5.350000E-9	2.519744E-3
5.400000E-9	2.608817E-3
5.450000E-9	2.660206E-3
5.500000E-9	2.661919E-3
5.550000E-9	2.619095E-3
5.600000E-9	2.543725E-3
5.650000E-9	2.440948E-3
5.700000E-9	2.329606E-3
5.750000E-9	2.237107E-3
5.800000E-9	2.161737E-3
5.850000E-9	2.082941E-3
5.900000E-9	2.002433E-3
5.950000E-9	1.951044E-3
6.000000E-9	1.939054E-3
6.050000E-9	1.930489E-3
6.100000E-9	1.928776E-3
6.150000E-9	1.935628E-3
6.200000E-9	1.925350E-3
6.250000E-9	1.877387E-3
6.300000E-9	1.815721E-3
6.350000E-9	1.748916E-3
6.400000E-9	1.666695E-3
6.450000E-9	1.605028E-3
6.500000E-9	1.586186E-3
6.550000E-9	1.599890E-3
6.600000E-9	1.620445E-3
6.650000E-9	1.654704E-3
6.700000E-9	1.704380E-3
6.750000E-9	1.774610E-3
6.800000E-9	1.848267E-3
6.850000E-9	1.885952E-3
6.900000E-9	1.897943E-3
