Study Name	Tungsten_Fuzz
Sample Name	2024-05-05
Run Name	spot2
Operator	Angus
Date	5/5/2024
Time	19:02
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	2
dt	50.000001E-12
time stamp (ms)	7:04:09 PM
	
Time	Amplitude
0.000000E+0	8.187942E-4
5.000000E-11	6.577774E-4
1.000000E-10	4.933346E-4
1.500000E-10	3.151884E-4
2.000000E-10	1.370421E-4
2.500000E-10	3.432364E-6
3.000000E-10	-6.165955E-5
3.500000E-10	-9.249256E-5
4.000000E-10	-1.061961E-4
4.500000E-10	-6.851133E-5
5.000000E-10	4.796894E-5
5.500000E-10	1.884304E-4
6.000000E-10	3.014848E-4
6.500000E-10	4.213910E-4
7.000000E-10	5.721301E-4
7.500000E-10	7.023139E-4
8.000000E-10	7.708317E-4
8.500000E-10	8.187942E-4
9.000000E-10	8.462013E-4
9.500000E-10	8.427754E-4
1.000000E-9	8.359237E-4
1.050000E-9	8.359237E-4
1.100000E-9	7.948130E-4
1.150000E-9	7.160175E-4
1.200000E-9	6.680550E-4
1.250000E-9	6.646292E-4
1.300000E-9	6.783327E-4
1.350000E-9	6.886104E-4
1.400000E-9	6.817586E-4
1.450000E-9	6.817586E-4
1.500000E-9	7.365728E-4
1.550000E-9	8.427754E-4
1.600000E-9	9.387004E-4
1.650000E-9	1.017496E-3
1.700000E-9	1.130550E-3
1.750000E-9	1.236753E-3
1.800000E-9	1.305271E-3
1.850000E-9	1.356659E-3
1.900000E-9	1.404621E-3
1.950000E-9	1.397770E-3
2.000000E-9	1.325826E-3
2.050000E-9	1.247030E-3
2.100000E-9	1.144254E-3
2.150000E-9	9.798110E-4
2.200000E-9	7.879612E-4
2.250000E-9	6.337961E-4
2.300000E-9	5.207418E-4
2.350000E-9	4.282427E-4
2.400000E-9	3.700026E-4
2.450000E-9	3.528732E-4
2.500000E-9	3.939838E-4
2.550000E-9	5.001864E-4
2.600000E-9	6.337961E-4
2.650000E-9	8.050906E-4
2.700000E-9	9.900887E-4
2.750000E-9	1.147680E-3
2.800000E-9	1.243605E-3
2.850000E-9	1.308696E-3
2.900000E-9	1.339530E-3
2.950000E-9	1.305271E-3
3.000000E-9	1.212772E-3
3.050000E-9	1.130550E-3
3.100000E-9	1.031199E-3
3.150000E-9	8.941638E-4
3.200000E-9	7.742576E-4
3.250000E-9	7.297211E-4
3.300000E-9	7.365728E-4
3.350000E-9	7.537023E-4
3.400000E-9	7.742576E-4
3.450000E-9	8.119424E-4
3.500000E-9	8.701826E-4
3.550000E-9	9.249968E-4
3.600000E-9	9.489780E-4
3.650000E-9	9.558298E-4
3.700000E-9	9.832369E-4
3.750000E-9	9.832369E-4
3.800000E-9	9.387004E-4
3.850000E-9	9.078674E-4
3.900000E-9	8.907379E-4
3.950000E-9	8.427754E-4
4.000000E-9	7.845353E-4
4.050000E-9	7.674059E-4
4.100000E-9	7.674059E-4
4.150000E-9	7.639800E-4
4.200000E-9	7.708317E-4
4.250000E-9	7.845353E-4
4.300000E-9	7.879612E-4
4.350000E-9	8.016648E-4
4.400000E-9	8.119424E-4
4.450000E-9	8.119424E-4
4.500000E-9	8.050906E-4
4.550000E-9	7.948130E-4
4.600000E-9	7.537023E-4
4.650000E-9	7.023139E-4
4.700000E-9	6.886104E-4
4.750000E-9	6.851845E-4
4.800000E-9	6.680550E-4
4.850000E-9	6.577774E-4
4.900000E-9	6.851845E-4
4.950000E-9	7.228693E-4
5.000000E-9	7.776835E-4
5.050000E-9	8.633308E-4
5.100000E-9	9.558298E-4
5.150000E-9	1.038051E-3
5.200000E-9	1.109995E-3
5.250000E-9	1.144254E-3
5.300000E-9	1.130550E-3
5.350000E-9	1.068884E-3
5.400000E-9	9.798110E-4
5.450000E-9	8.770343E-4
5.500000E-9	7.776835E-4
5.550000E-9	6.851845E-4
5.600000E-9	6.098149E-4
5.650000E-9	5.721301E-4
5.700000E-9	6.098149E-4
5.750000E-9	7.262952E-4
5.800000E-9	8.975897E-4
5.850000E-9	1.072310E-3
5.900000E-9	1.202494E-3
5.950000E-9	1.288141E-3
6.000000E-9	1.329252E-3
6.050000E-9	1.291567E-3
6.100000E-9	1.171661E-3
6.150000E-9	1.000366E-3
6.200000E-9	7.742576E-4
6.250000E-9	5.104641E-4
6.300000E-9	2.740777E-4
6.350000E-9	1.130608E-4
6.400000E-9	1.371003E-5
6.450000E-9	-3.425243E-5
6.500000E-9	2.741359E-5
6.550000E-9	1.952822E-4
6.600000E-9	3.905579E-4
6.650000E-9	5.789819E-4
6.700000E-9	7.468505E-4
6.750000E-9	8.770343E-4
6.800000E-9	9.421263E-4
6.850000E-9	9.626816E-4
6.900000E-9	9.524039E-4
6.950000E-9	8.701826E-4
7.000000E-9	7.399987E-4
7.050000E-9	6.269444E-4
7.100000E-9	5.481489E-4
7.150000E-9	4.522240E-4
7.200000E-9	3.494473E-4
7.250000E-9	3.049107E-4
7.300000E-9	3.186143E-4
7.350000E-9	3.425955E-4
7.400000E-9	3.665767E-4
7.450000E-9	4.145392E-4
7.500000E-9	4.625016E-4
7.550000E-9	4.796311E-4
7.600000E-9	4.796311E-4
7.650000E-9	5.207418E-4
7.700000E-9	5.961114E-4
7.750000E-9	6.851845E-4
7.800000E-9	7.776835E-4
7.850000E-9	8.462013E-4
7.900000E-9	8.736084E-4
7.950000E-9	9.524039E-4
8.000000E-9	1.103143E-3
8.050000E-9	1.144254E-3
8.100000E-9	1.068884E-3
8.150000E-9	1.103143E-3
8.200000E-9	1.202494E-3
8.250000E-9	1.116847E-3
8.300000E-9	9.695334E-4
8.350000E-9	9.215709E-4
8.400000E-9	8.222201E-4
8.450000E-9	7.057398E-4
8.500000E-9	7.982389E-4
8.550000E-9	9.147191E-4
8.600000E-9	8.324978E-4
8.650000E-9	8.393495E-4
8.700000E-9	1.041477E-3
8.750000E-9	1.072310E-3
8.800000E-9	9.729593E-4
8.850000E-9	1.096291E-3
8.900000E-9	1.223049E-3
8.950000E-9	1.075736E-3
9.000000E-9	9.832369E-4
9.050000E-9	1.103143E-3
9.100000E-9	1.044903E-3
9.150000E-9	7.297211E-4
9.200000E-9	5.275935E-4
9.250000E-9	4.762052E-4
9.300000E-9	4.282427E-4
9.350000E-9	3.905579E-4
9.400000E-9	2.843554E-4
9.450000E-9	3.769126E-5
9.500000E-9	-1.027702E-4
9.550000E-9	-7.878900E-5
9.600000E-9	-1.747139E-4
