Study Name	Tungsten_Fuzz
Sample Name	2024-05-05
Run Name	spot4
Operator	Angus
Date	5/5/2024
Time	19:23
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	48
dt	50.000001E-12
time stamp (ms)	8:12:56 PM
	
Time	Amplitude
0.000000E+0	2.040118E-3
5.000000E-11	2.038405E-3
1.000000E-10	2.045257E-3
1.500000E-10	2.060673E-3
2.000000E-10	2.076090E-3
2.500000E-10	2.098358E-3
3.000000E-10	2.146321E-3
3.500000E-10	2.207987E-3
4.000000E-10	2.261088E-3
4.500000E-10	2.310764E-3
5.000000E-10	2.362152E-3
5.500000E-10	2.386134E-3
6.000000E-10	2.357013E-3
6.500000E-10	2.315903E-3
7.000000E-10	2.291921E-3
7.500000E-10	2.249098E-3
8.000000E-10	2.177154E-3
8.500000E-10	2.117200E-3
9.000000E-10	2.074377E-3
9.500000E-10	2.017849E-3
1.000000E-9	1.963035E-3
1.050000E-9	1.923637E-3
1.100000E-9	1.891091E-3
1.150000E-9	1.863684E-3
1.200000E-9	1.844841E-3
1.250000E-9	1.825999E-3
1.300000E-9	1.800305E-3
1.350000E-9	1.783175E-3
1.400000E-9	1.784888E-3
1.450000E-9	1.803731E-3
1.500000E-9	1.844841E-3
1.550000E-9	1.918498E-3
1.600000E-9	2.028127E-3
1.650000E-9	2.149747E-3
1.700000E-9	2.255949E-3
1.750000E-9	2.348449E-3
1.800000E-9	2.434096E-3
1.850000E-9	2.461503E-3
1.900000E-9	2.410115E-3
1.950000E-9	2.297060E-3
2.000000E-9	2.154885E-3
2.050000E-9	1.985303E-3
2.100000E-9	1.810582E-3
2.150000E-9	1.647852E-3
2.200000E-9	1.495400E-3
2.250000E-9	1.384058E-3
2.300000E-9	1.346373E-3
2.350000E-9	1.377206E-3
2.400000E-9	1.457715E-3
2.450000E-9	1.572482E-3
2.500000E-9	1.695815E-3
2.550000E-9	1.819147E-3
2.600000E-9	1.939054E-3
2.650000E-9	2.028127E-3
2.700000E-9	2.069238E-3
2.750000E-9	2.065812E-3
2.800000E-9	2.016136E-3
2.850000E-9	1.921924E-3
2.900000E-9	1.803731E-3
2.950000E-9	1.690676E-3
3.000000E-9	1.565631E-3
3.050000E-9	1.444011E-3
3.100000E-9	1.366928E-3
3.150000E-9	1.344660E-3
3.200000E-9	1.358364E-3
3.250000E-9	1.426882E-3
3.300000E-9	1.557066E-3
3.350000E-9	1.709518E-3
3.400000E-9	1.861971E-3
3.450000E-9	2.029840E-3
3.500000E-9	2.201135E-3
3.550000E-9	2.324467E-3
3.600000E-9	2.380995E-3
3.650000E-9	2.389560E-3
3.700000E-9	2.355301E-3
3.750000E-9	2.274792E-3
3.800000E-9	2.185718E-3
3.850000E-9	2.117200E-3
3.900000E-9	2.058960E-3
3.950000E-9	2.000720E-3
4.000000E-9	1.952757E-3
4.050000E-9	1.927063E-3
4.100000E-9	1.920211E-3
4.150000E-9	1.935628E-3
4.200000E-9	1.968174E-3
4.250000E-9	2.009285E-3
4.300000E-9	2.041831E-3
4.350000E-9	2.024701E-3
4.400000E-9	1.961322E-3
4.450000E-9	1.889378E-3
4.500000E-9	1.822573E-3
4.550000E-9	1.748916E-3
4.600000E-9	1.682111E-3
4.650000E-9	1.634149E-3
4.700000E-9	1.584473E-3
4.750000E-9	1.521094E-3
4.800000E-9	1.467992E-3
4.850000E-9	1.444011E-3
4.900000E-9	1.444011E-3
4.950000E-9	1.461141E-3
5.000000E-9	1.483409E-3
5.050000E-9	1.502251E-3
5.100000E-9	1.517668E-3
5.150000E-9	1.541649E-3
5.200000E-9	1.586186E-3
5.250000E-9	1.632436E-3
5.300000E-9	1.675259E-3
5.350000E-9	1.719796E-3
5.400000E-9	1.771185E-3
5.450000E-9	1.819147E-3
5.500000E-9	1.860258E-3
5.550000E-9	1.889378E-3
5.600000E-9	1.915072E-3
5.650000E-9	1.932202E-3
5.700000E-9	1.921924E-3
5.750000E-9	1.889378E-3
5.800000E-9	1.848267E-3
5.850000E-9	1.803731E-3
5.900000E-9	1.762620E-3
5.950000E-9	1.728361E-3
6.000000E-9	1.704380E-3
6.050000E-9	1.688963E-3
6.100000E-9	1.695815E-3
6.150000E-9	1.726648E-3
6.200000E-9	1.760907E-3
6.250000E-9	1.807157E-3
6.300000E-9	1.880813E-3
6.350000E-9	1.980164E-3
6.400000E-9	2.093219E-3
6.450000E-9	2.192570E-3
6.500000E-9	2.267940E-3
6.550000E-9	2.310764E-3
6.600000E-9	2.317616E-3
6.650000E-9	2.285070E-3
6.700000E-9	2.219977E-3
6.750000E-9	2.137756E-3
6.800000E-9	2.038405E-3
6.850000E-9	1.918498E-3
6.900000E-9	1.793453E-3
