Study Name	Tungsten_Fuzz
Sample Name	2024-05-05
Run Name	spot5
Operator	Angus
Date	5/5/2024
Time	20:51
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	126
dt	50.000001E-12
time stamp (ms)	11:01:43 PM
	
Time	Amplitude
0.000000E+0	-7.691029E-4
5.000000E-11	-7.639640E-4
1.000000E-10	-7.691029E-4
1.500000E-10	-7.742417E-4
2.000000E-10	-7.639640E-4
2.500000E-10	-7.399827E-4
3.000000E-10	-7.125755E-4
3.500000E-10	-6.783165E-4
4.000000E-10	-6.440575E-4
4.500000E-10	-6.235021E-4
5.000000E-10	-6.063726E-4
5.500000E-10	-5.806784E-4
6.000000E-10	-5.532712E-4
6.500000E-10	-5.344287E-4
7.000000E-10	-5.155863E-4
7.500000E-10	-5.053086E-4
8.000000E-10	-5.121604E-4
8.500000E-10	-5.292899E-4
9.000000E-10	-5.515582E-4
9.500000E-10	-5.823913E-4
1.000000E-9	-6.132244E-4
1.050000E-9	-6.320669E-4
1.100000E-9	-6.509093E-4
1.150000E-9	-6.748906E-4
1.200000E-9	-6.868813E-4
1.250000E-9	-6.920201E-4
1.300000E-9	-7.142885E-4
1.350000E-9	-7.434086E-4
1.400000E-9	-7.571122E-4
1.450000E-9	-7.725288E-4
1.500000E-9	-8.033619E-4
1.550000E-9	-8.393338E-4
1.600000E-9	-8.701669E-4
1.650000E-9	-8.924353E-4
1.700000E-9	-9.095648E-4
1.750000E-9	-9.284072E-4
1.800000E-9	-9.403979E-4
1.850000E-9	-9.266943E-4
1.900000E-9	-8.992871E-4
1.950000E-9	-8.753058E-4
2.000000E-9	-8.341950E-4
2.050000E-9	-7.656770E-4
2.100000E-9	-7.074367E-4
2.150000E-9	-6.629000E-4
2.200000E-9	-6.149374E-4
2.250000E-9	-5.841043E-4
2.300000E-9	-5.858172E-4
2.350000E-9	-5.995208E-4
2.400000E-9	-6.166503E-4
2.450000E-9	-6.594741E-4
2.500000E-9	-7.142885E-4
2.550000E-9	-7.536863E-4
2.600000E-9	-7.862324E-4
2.650000E-9	-8.256302E-4
2.700000E-9	-8.598892E-4
2.750000E-9	-8.821576E-4
2.800000E-9	-8.855835E-4
2.850000E-9	-8.650281E-4
2.900000E-9	-8.376209E-4
2.950000E-9	-8.102137E-4
3.000000E-9	-7.656770E-4
3.050000E-9	-7.125755E-4
3.100000E-9	-6.800295E-4
3.150000E-9	-6.594741E-4
3.200000E-9	-6.252151E-4
3.250000E-9	-5.892431E-4
3.300000E-9	-5.841043E-4
3.350000E-9	-5.892431E-4
3.400000E-9	-5.841043E-4
3.450000E-9	-5.806784E-4
3.500000E-9	-5.995208E-4
3.550000E-9	-6.303539E-4
3.600000E-9	-6.560482E-4
3.650000E-9	-6.766036E-4
3.700000E-9	-6.954460E-4
3.750000E-9	-7.177144E-4
3.800000E-9	-7.262791E-4
3.850000E-9	-7.177144E-4
3.900000E-9	-7.057237E-4
3.950000E-9	-6.954460E-4
4.000000E-9	-6.800295E-4
4.050000E-9	-6.629000E-4
4.100000E-9	-6.526223E-4
4.150000E-9	-6.440575E-4
4.200000E-9	-6.320669E-4
4.250000E-9	-6.286410E-4
4.300000E-9	-6.354928E-4
4.350000E-9	-6.509093E-4
4.400000E-9	-6.748906E-4
4.450000E-9	-7.057237E-4
4.500000E-9	-7.331309E-4
4.550000E-9	-7.571122E-4
4.600000E-9	-7.828065E-4
4.650000E-9	-7.982230E-4
4.700000E-9	-8.033619E-4
4.750000E-9	-8.102137E-4
4.800000E-9	-8.136396E-4
4.850000E-9	-8.050748E-4
4.900000E-9	-7.930842E-4
4.950000E-9	-7.913712E-4
5.000000E-9	-7.896583E-4
5.050000E-9	-7.793806E-4
5.100000E-9	-7.691029E-4
5.150000E-9	-7.673899E-4
5.200000E-9	-7.725288E-4
5.250000E-9	-7.913712E-4
5.300000E-9	-8.085007E-4
5.350000E-9	-8.153525E-4
5.400000E-9	-8.256302E-4
5.450000E-9	-8.393338E-4
5.500000E-9	-8.410468E-4
5.550000E-9	-8.341950E-4
5.600000E-9	-8.290561E-4
5.650000E-9	-8.136396E-4
5.700000E-9	-7.896583E-4
5.750000E-9	-7.691029E-4
5.800000E-9	-7.416957E-4
5.850000E-9	-7.142885E-4
5.900000E-9	-7.005849E-4
5.950000E-9	-6.903072E-4
6.000000E-9	-6.680388E-4
6.050000E-9	-6.560482E-4
6.100000E-9	-6.629000E-4
6.150000E-9	-6.680388E-4
6.200000E-9	-6.663259E-4
6.250000E-9	-6.783165E-4
6.300000E-9	-6.903072E-4
6.350000E-9	-6.920201E-4
6.400000E-9	-6.920201E-4
6.450000E-9	-6.954460E-4
6.500000E-9	-6.903072E-4
6.550000E-9	-6.920201E-4
6.600000E-9	-7.022978E-4
6.650000E-9	-7.040108E-4
6.700000E-9	-7.074367E-4
6.750000E-9	-7.262791E-4
6.800000E-9	-7.502604E-4
6.850000E-9	-7.605381E-4
6.900000E-9	-7.742417E-4
6.950000E-9	-7.999360E-4
7.000000E-9	-8.170655E-4
7.050000E-9	-8.256302E-4
7.100000E-9	-8.478986E-4
7.150000E-9	-8.770187E-4
7.200000E-9	-8.958612E-4
7.250000E-9	-9.112777E-4
7.300000E-9	-9.232684E-4
7.350000E-9	-9.164166E-4
7.400000E-9	-8.872964E-4
7.450000E-9	-8.513245E-4
7.500000E-9	-8.067878E-4
7.550000E-9	-7.502604E-4
7.600000E-9	-6.954460E-4
7.650000E-9	-6.474834E-4
7.700000E-9	-5.995208E-4
7.750000E-9	-5.549841E-4
