Study Name	Tungsten_temperature_sweep
Sample Name	2024-05-17
Run Name	200C_spot4
Operator	Angus
Date	5/17/2024
Time	20:23
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	8:24:00 PM
	
Time	Amplitude
0.000000E+0	-3.886684E-3
5.000000E-11	-3.859276E-3
1.000000E-10	-3.821592E-3
1.500000E-10	-3.777055E-3
2.000000E-10	-3.720528E-3
2.500000E-10	-3.657148E-3
3.000000E-10	-3.612612E-3
3.500000E-10	-3.590343E-3
4.000000E-10	-3.580066E-3
4.500000E-10	-3.585204E-3
5.000000E-10	-3.609186E-3
5.500000E-10	-3.664000E-3
6.000000E-10	-3.735944E-3
6.500000E-10	-3.797610E-3
7.000000E-10	-3.840434E-3
7.500000E-10	-3.878119E-3
8.000000E-10	-3.907239E-3
8.500000E-10	-3.915804E-3
9.000000E-10	-3.912378E-3
9.500000E-10	-3.895248E-3
1.000000E-9	-3.847286E-3
1.050000E-9	-3.782194E-3
1.100000E-9	-3.722240E-3
1.150000E-9	-3.653722E-3
1.200000E-9	-3.568075E-3
1.250000E-9	-3.484140E-3
1.300000E-9	-3.431039E-3
1.350000E-9	-3.408771E-3
1.400000E-9	-3.407058E-3
1.450000E-9	-3.420761E-3
1.500000E-9	-3.449881E-3
1.550000E-9	-3.482427E-3
1.600000E-9	-3.501270E-3
1.650000E-9	-3.501270E-3
1.700000E-9	-3.487566E-3
1.750000E-9	-3.467011E-3
1.800000E-9	-3.431039E-3
1.850000E-9	-3.381363E-3
1.900000E-9	-3.323123E-3
1.950000E-9	-3.261457E-3
2.000000E-9	-3.206642E-3
2.050000E-9	-3.172383E-3
2.100000E-9	-3.168958E-3
2.150000E-9	-3.199791E-3
2.200000E-9	-3.252892E-3
2.250000E-9	-3.324836E-3
2.300000E-9	-3.417335E-3
2.350000E-9	-3.514974E-3
2.400000E-9	-3.583492E-3
2.450000E-9	-3.605760E-3
2.500000E-9	-3.588630E-3
2.550000E-9	-3.542381E-3
2.600000E-9	-3.467011E-3
2.650000E-9	-3.374512E-3
2.700000E-9	-3.268309E-3
2.750000E-9	-3.165532E-3
2.800000E-9	-3.095301E-3
2.850000E-9	-3.062755E-3
2.900000E-9	-3.062755E-3
2.950000E-9	-3.109004E-3
3.000000E-9	-3.223772E-3
3.050000E-9	-3.388215E-3
3.100000E-9	-3.581779E-3
3.150000E-9	-3.787333E-3
3.200000E-9	-3.989461E-3
3.250000E-9	-4.165895E-3
3.300000E-9	-4.302931E-3
3.350000E-9	-4.386865E-3
3.400000E-9	-4.405708E-3
3.450000E-9	-4.369736E-3
3.500000E-9	-4.304643E-3
3.550000E-9	-4.217283E-3
3.600000E-9	-4.107654E-3
3.650000E-9	-3.987748E-3
3.700000E-9	-3.878119E-3
3.750000E-9	-3.792471E-3
3.800000E-9	-3.722240E-3
3.850000E-9	-3.655435E-3
3.900000E-9	-3.602334E-3
3.950000E-9	-3.588630E-3
4.000000E-9	-3.602334E-3
4.050000E-9	-3.605760E-3
4.100000E-9	-3.598908E-3
4.150000E-9	-3.600621E-3
4.200000E-9	-3.588630E-3
4.250000E-9	-3.561223E-3
4.300000E-9	-3.547520E-3
4.350000E-9	-3.561223E-3
4.400000E-9	-3.586917E-3
4.450000E-9	-3.621176E-3
4.500000E-9	-3.670852E-3
4.550000E-9	-3.718815E-3
4.600000E-9	-3.758212E-3
4.650000E-9	-3.804462E-3
4.700000E-9	-3.860989E-3
4.750000E-9	-3.912378E-3
4.800000E-9	-3.939785E-3
4.850000E-9	-3.943211E-3
4.900000E-9	-3.946637E-3
4.950000E-9	-3.974044E-3
5.000000E-9	-3.994600E-3
5.050000E-9	-3.982609E-3
5.100000E-9	-3.967192E-3
5.150000E-9	-3.968905E-3
5.200000E-9	-3.963766E-3
5.250000E-9	-3.932933E-3
5.300000E-9	-3.895248E-3
5.350000E-9	-3.860989E-3
5.400000E-9	-3.816453E-3
5.450000E-9	-3.754787E-3
5.500000E-9	-3.694833E-3
5.550000E-9	-3.657148E-3
5.600000E-9	-3.645158E-3
5.650000E-9	-3.650297E-3
5.700000E-9	-3.664000E-3
5.750000E-9	-3.689694E-3
5.800000E-9	-3.723953E-3
5.850000E-9	-3.759925E-3
5.900000E-9	-3.807888E-3
5.950000E-9	-3.869554E-3
6.000000E-9	-3.924369E-3
6.050000E-9	-3.968905E-3
6.100000E-9	-4.011729E-3
6.150000E-9	-4.033997E-3
6.200000E-9	-4.020294E-3
6.250000E-9	-3.996312E-3
6.300000E-9	-3.984322E-3
6.350000E-9	-3.960341E-3
6.400000E-9	-3.922656E-3
6.450000E-9	-3.890110E-3
6.500000E-9	-3.867841E-3
6.550000E-9	-3.838721E-3
6.600000E-9	-3.804462E-3
6.650000E-9	-3.782194E-3
6.700000E-9	-3.770203E-3
6.750000E-9	-3.759925E-3
6.800000E-9	-3.763351E-3
6.850000E-9	-3.795897E-3
6.900000E-9	-3.843860E-3
6.950000E-9	-3.886684E-3
7.000000E-9	-3.926082E-3
7.050000E-9	-3.975757E-3
7.100000E-9	-4.028859E-3
7.150000E-9	-4.059692E-3
7.200000E-9	-4.054553E-3
7.250000E-9	-4.028859E-3
7.300000E-9	-4.001451E-3
7.350000E-9	-3.974044E-3
7.400000E-9	-3.941498E-3
7.450000E-9	-3.917517E-3
7.500000E-9	-3.907239E-3
7.550000E-9	-3.895248E-3
7.600000E-9	-3.876406E-3
7.650000E-9	-3.860989E-3
7.700000E-9	-3.850712E-3
7.750000E-9	-3.831869E-3
7.800000E-9	-3.797610E-3
7.850000E-9	-3.783907E-3
7.900000E-9	-3.804462E-3
7.950000E-9	-3.802749E-3
8.000000E-9	-3.768490E-3
8.050000E-9	-3.787333E-3
8.100000E-9	-3.876406E-3
8.150000E-9	-3.912378E-3
8.200000E-9	-3.902100E-3
8.250000E-9	-3.986035E-3
8.300000E-9	-4.131636E-3
8.350000E-9	-4.191589E-3
8.400000E-9	-4.191589E-3
8.450000E-9	-4.196728E-3
8.500000E-9	-4.153904E-3
8.550000E-9	-4.083673E-3
8.600000E-9	-4.064830E-3
8.650000E-9	-3.982609E-3
8.700000E-9	-3.759925E-3
8.750000E-9	-3.590343E-3
8.800000E-9	-3.537242E-3
8.850000E-9	-3.419048E-3
8.900000E-9	-3.263170E-3
8.950000E-9	-3.256318E-3
9.000000E-9	-3.350530E-3
9.050000E-9	-3.475576E-3
9.100000E-9	-3.723953E-3
9.150000E-9	-3.991174E-3
9.200000E-9	-4.059692E-3
9.250000E-9	-4.085386E-3
9.300000E-9	-4.296079E-3
9.350000E-9	-4.518762E-3
9.400000E-9	-4.588993E-3
9.450000E-9	-4.600984E-3
9.500000E-9	-4.527327E-3
9.550000E-9	-4.268672E-3
9.600000E-9	-4.018581E-3
9.650000E-9	-3.903813E-3
9.700000E-9	-3.718815E-3
9.750000E-9	-3.441317E-3
9.800000E-9	-3.345391E-3
