run_name date_time grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
Tungsten_temperature_sweep-2024-05-17-06.40um-50C_spot1 2024_05_17_19:48:14 3.5253 7.4820857e+08 4998.2012 0.24971315 0.052399829 5.9670917e-05 9.6760991e-07 7.8828692e-07 5.7968566e-06 0.0094525367 9.1208682e-05 -1.1984166 0.0066958414 2.2540608e-08 2.8359598e-10 -0.00084567158 9.3985516e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-50C_spot2 2024_05_17_19:47:02 3.5253 7.484818e+08 5771.9677 0.21511788 0.054301784 6.3590172e-05 1.2331529e-06 6.8241627e-07 6.779832e-06 0.008176941 9.3295934e-05 -0.21836461 0.0078928517 2.133763e-08 3.1858586e-10 0.00078890789 9.3273853e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-50C_spot3 2024_05_17_19:45:59 3.5253 7.4824406e+08 5818.2333 0.25122535 0.066838409 6.4941068e-05 1.2110159e-06 2.4474845e-07 7.287705e-06 0.0090869097 9.2853168e-05 -1.2245754 0.0070833311 2.1430538e-08 2.8389063e-10 0.00069909064 9.1612431e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-50C_spot4 2024_05_17_19:44:57 3.5253 7.4798551e+08 6496.1158 0.34009268 0.071299021 6.5885397e-05 1.2854271e-06 1.1307964e-05 3.4352945e-06 0.0048597946 7.2872009e-05 -1.859494 0.010389281 2.7026637e-08 5.3383008e-10 -0.00049718436 8.4052313e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-50C_spot5 2024_05_17_19:43:53 3.5253 7.488854e+08 7830.8209 0.22142034 0.061714549 6.672487e-05 1.3134703e-06 1.9498456e-08 7.5764246e-06 0.0080490954 6.4642943e-05 -0.62845737 0.0080049036 1.9514199e-08 NaN 0.00051504653 8.6452882e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-100C_spot1 2024_05_17_19:58:03 3.5253 7.4606365e+08 5490.9284 0.25745941 0.054995748 5.9511294e-05 1.025434e-06 2.3824503e-06 5.5661655e-06 0.0097980796 9.9965821e-05 -1.1305154 0.0070814822 2.1475508e-08 2.8429977e-10 -0.0005825639 9.9437366e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-100C_spot2 2024_05_17_19:59:23 3.5253 7.4482436e+08 6270.7518 0.21390228 0.043559042 5.8334745e-05 1.0112167e-06 2.2524448e-06 5.3304181e-06 0.0084655535 9.5992799e-05 -0.47909841 0.0078488133 2.028345e-08 2.9848352e-10 -0.00025191153 9.2523574e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-100C_spot3 2024_05_17_20:00:31 3.5253 7.4593034e+08 6635.3888 0.25146966 0.048261117 6.0108668e-05 1.1098038e-06 7.6248878e-06 3.9403462e-06 0.0054489018 8.0083592e-05 -0.45313707 0.01018308 2.6679739e-08 5.2175415e-10 2.8566741e-05 9.372076e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-100C_spot4 2024_05_17_20:01:35 3.5253 7.4488632e+08 6907.3525 0.19615709 0.04436147 5.9916725e-05 1.0660453e-06 1.1742261e-07 6.3463752e-06 0.0073414448 8.6336537e-05 -0.45425589 0.0081430499 2.1559914e-08 3.3111574e-10 0.00097780261 8.6896365e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-100C_spot5 2024_05_17_20:02:46 3.5253 7.4432052e+08 8766.0333 0.12897028 0.0014655383 5.6147844e-05 3.9150837e-07 4.6237962e-09 NaN 0.0049443548 8.2459037e-05 0.44297073 0.011748004 2.1915841e-08 4.8371113e-10 0.00018989781 8.4699053e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-150C_spot1 2024_05_17_20:13:18 3.5253 7.4011499e+08 9860.2325 0.19531373 0.013163623 5.1339895e-05 NaN 2.0216855e-06 2.1640381e-06 0.007951244 0.0001126325 -0.15145507 0.01433768 1.7628923e-08 NaN 0.0031330634 1.3795708e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-150C_spot2 2024_05_17_20:12:16 3.5253 7.4050436e+08 9877.6267 0.013303646 0.00026647535 3.8230438e-06 NaN 2.3371471e-14 NaN 0.0051045605 0.00043232786 0.40444922 0.059677879 2.3502173e-08 2.6537369e-09 0.0014986881 6.7088669e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-150C_spot3 2024_05_17_20:11:12 3.5253 7.4108251e+08 8277.292 0.23487383 0.0019529889 6.0379162e-05 2.8830704e-07 1.0771296e-08 NaN 0.0091369518 7.0848106e-05 -0.63866792 0.0078097048 1.8248071e-08 NaN 0.0013358952 8.9553532e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-150C_spot4 2024_05_17_20:09:59 3.5253 7.4215909e+08 7961.9238 0.17633127 0.035079823 5.4757026e-05 9.5208772e-07 9.687247e-08 5.7314866e-06 0.0070059204 9.5928655e-05 0.41024046 0.0095904837 2.0403141e-08 3.6580686e-10 0.00044527913 9.4540565e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-150C_spot5 2024_05_17_20:08:53 3.5253 7.4113194e+08 8761.2674 0.14302039 0.030443011 5.1261363e-05 9.9551913e-07 7.5772978e-08 6.2906683e-06 0.0063546229 6.8346079e-05 0.12361499 0.010844573 1.9813861e-08 NaN 0.00088694817 9.4763697e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-200C_spot1 2024_05_17_20:20:20 3.5253 7.3804931e+08 8536.6631 0.015655022 0.0002832296 4.017529e-06 NaN 3.9914782e-14 NaN 0.0053242657 0.00044688148 -0.32022101 0.058687758 2.4380645e-08 2.7198473e-09 0.0016889886 6.9022146e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-200C_spot2 2024_05_17_20:21:42 3.5253 7.3894645e+08 11501.09 0.011236857 0.00024729129 3.2265387e-06 NaN 2.3370244e-14 NaN 0.0050113935 0.00043851785 0.44560055 0.061743277 2.1426843e-08 2.4812151e-09 0.0013810205 6.8819597e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-200C_spot3 2024_05_17_20:22:52 3.5253 7.3651205e+08 10187.951 0.012019188 0.00023403623 3.4859593e-06 NaN 2.3370204e-14 NaN 0.0042671627 0.00038150953 -0.0051404859 0.062789944 2.3992645e-08 2.8520718e-09 0.001385855 6.2120883e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-200C_spot4 2024_05_17_20:24:00 3.5253 7.3716429e+08 11204.95 0.014939244 0.00026166695 4.1119708e-06 NaN 2.3370909e-14 NaN 0.0047299799 0.00042911826 -0.50247322 0.0635778 2.2958826e-08 2.7477722e-09 0.0015925833 6.2723236e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-200C_spot5 2024_05_17_20:25:11 3.5253 7.3807108e+08 10140.938 0.17577439 0.00048878768 5.9414773e-05 NaN 1.6554343e-09 NaN 0.0071087891 7.6933476e-05 -0.12925009 0.010916639 1.7134988e-08 NaN 0.0024552378 9.0727347e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-250C_spot1 2024_05_17_20:36:40 3.5253 7.342007e+08 10560.016 0.25391593 0.05088574 6.1238335e-05 9.9592948e-07 2.1535364e-06 5.1756843e-06 0.0089392751 7.6675288e-05 -0.053846157 0.0085750522 1.7121279e-08 NaN 0.0027524569 9.3356519e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-250C_spot2 2024_05_17_20:35:39 3.5253 7.3592382e+08 10897.221 0.010568413 0.00022159838 3.6724094e-06 NaN 2.2214749e-14 NaN 0.0045564333 0.00038599439 0.37723189 0.059642589 2.1571402e-08 2.4092699e-09 0.0012620046 5.7039668e-05
Tungsten_temperature_sweep-2024-05-17-06.40um-250C_spot3 2024_05_17_20:33:57 3.5253 7.3668985e+08 10364.156 0.20269873 0.044939634 5.9011782e-05 1.0225214e-06 1.5533287e-08 6.2966893e-06 0.0078132237 7.1183714e-05 -0.17335575 0.0091959563 1.7366157e-08 NaN 0.0019275715 8.7819242e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-250C_spot4 2024_05_17_20:32:32 3.5253 7.3589123e+08 9568.0656 0.18013595 0.00144305 5.6136455e-05 2.7601917e-07 6.0680702e-11 NaN 0.0072521479 6.5607075e-05 0.29293592 0.0090847949 1.808142e-08 NaN 0.0022928734 8.3469983e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-250C_spot5 2024_05_17_20:31:29 3.5253 7.3679596e+08 9173.2154 0.20744639 0.047451498 6.3278543e-05 1.1520584e-06 1.8366531e-06 5.8891713e-06 0.0069424317 6.3925965e-05 0.30930426 0.0091990582 1.851106e-08 NaN 0.002332087 8.2929949e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-300C_spot1 2024_05_17_20:41:09 3.5253 7.308293e+08 12744.371 0.23834071 0.035953336 5.7227852e-05 8.0273464e-07 3.4428819e-06 3.7638452e-06 0.0085704383 7.2374833e-05 0.8073304 0.008411545 1.7184549e-08 NaN 0.0020329243 8.9623644e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-300C_spot2 2024_05_17_20:42:22 3.5253 7.3294659e+08 10921.439 0.1745575 0.00041284851 5.2666069e-05 NaN 3.0633256e-09 NaN 0.0085419811 8.2634514e-05 0.32263547 0.009728933 1.6451163e-08 NaN 0.0029231063 9.5081662e-06
Tungsten_temperature_sweep-2024-05-17-06.40um-300C_spot3 2024_05_17_20:44:03 3.5253 7.33503e+08 11630.407 0.12742338 0.00039378241 5.1185505e-05 NaN 4.4748294e-12 NaN 0.0065410444 8.2387375e-05 0.47646641 0.012714987 1.6378981e-08 NaN 0.0023792525 9.473641e-06
