Study Name	Tungsten_temperature_sweep
Sample Name	2024-05-17
Run Name	500C_spot1
Operator	Angus
Date	5/17/2024
Time	22:00
Sign	POS
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	10:01:48 PM
	
Time	Amplitude
0.000000E+0	-6.812405E-3
5.000000E-11	-6.820970E-3
1.000000E-10	-6.832960E-3
1.500000E-10	-6.855229E-3
2.000000E-10	-6.877497E-3
2.500000E-10	-6.894627E-3
3.000000E-10	-6.916895E-3
3.500000E-10	-6.946015E-3
4.000000E-10	-6.980274E-3
4.500000E-10	-7.011107E-3
5.000000E-10	-7.019672E-3
5.500000E-10	-6.999117E-3
6.000000E-10	-6.964858E-3
6.500000E-10	-6.913469E-3
7.000000E-10	-6.838099E-3
7.500000E-10	-6.759304E-3
8.000000E-10	-6.687360E-3
8.500000E-10	-6.613703E-3
9.000000E-10	-6.531481E-3
9.500000E-10	-6.474954E-3
1.000000E-9	-6.450973E-3
1.050000E-9	-6.462963E-3
1.100000E-9	-6.509213E-3
1.150000E-9	-6.579444E-3
1.200000E-9	-6.665091E-3
1.250000E-9	-6.762729E-3
1.300000E-9	-6.870645E-3
1.350000E-9	-6.952867E-3
1.400000E-9	-6.990552E-3
1.450000E-9	-7.011107E-3
1.500000E-9	-7.033376E-3
1.550000E-9	-7.026524E-3
1.600000E-9	-6.980274E-3
1.650000E-9	-6.915182E-3
1.700000E-9	-6.841525E-3
1.750000E-9	-6.745600E-3
1.800000E-9	-6.641110E-3
1.850000E-9	-6.560601E-3
1.900000E-9	-6.519491E-3
1.950000E-9	-6.498935E-3
2.000000E-9	-6.490370E-3
2.050000E-9	-6.504074E-3
2.100000E-9	-6.536620E-3
2.150000E-9	-6.555462E-3
2.200000E-9	-6.550324E-3
2.250000E-9	-6.548611E-3
2.300000E-9	-6.557175E-3
2.350000E-9	-6.546898E-3
2.400000E-9	-6.522916E-3
2.450000E-9	-6.531481E-3
2.500000E-9	-6.545185E-3
2.550000E-9	-6.522916E-3
2.600000E-9	-6.486944E-3
2.650000E-9	-6.483519E-3
2.700000E-9	-6.521203E-3
2.750000E-9	-6.586296E-3
2.800000E-9	-6.659952E-3
2.850000E-9	-6.726757E-3
2.900000E-9	-6.776433E-3
2.950000E-9	-6.815831E-3
3.000000E-9	-6.850090E-3
3.050000E-9	-6.908330E-3
3.100000E-9	-6.973422E-3
3.150000E-9	-7.004255E-3
3.200000E-9	-6.990552E-3
3.250000E-9	-6.958006E-3
3.300000E-9	-6.935737E-3
3.350000E-9	-6.939163E-3
3.400000E-9	-6.958006E-3
3.450000E-9	-6.980274E-3
3.500000E-9	-7.023098E-3
3.550000E-9	-7.095042E-3
3.600000E-9	-7.156708E-3
3.650000E-9	-7.189254E-3
3.700000E-9	-7.226939E-3
3.750000E-9	-7.250920E-3
3.800000E-9	-7.223513E-3
3.850000E-9	-7.156708E-3
3.900000E-9	-7.089903E-3
3.950000E-9	-7.014533E-3
4.000000E-9	-6.925460E-3
4.050000E-9	-6.844951E-3
4.100000E-9	-6.795275E-3
4.150000E-9	-6.767868E-3
4.200000E-9	-6.762729E-3
4.250000E-9	-6.783285E-3
4.300000E-9	-6.817544E-3
4.350000E-9	-6.855229E-3
4.400000E-9	-6.915182E-3
4.450000E-9	-7.002542E-3
4.500000E-9	-7.077912E-3
4.550000E-9	-7.141291E-3
4.600000E-9	-7.214948E-3
4.650000E-9	-7.281753E-3
4.700000E-9	-7.302309E-3
4.750000E-9	-7.278327E-3
4.800000E-9	-7.240642E-3
4.850000E-9	-7.199532E-3
4.900000E-9	-7.158421E-3
4.950000E-9	-7.120736E-3
5.000000E-9	-7.062496E-3
5.050000E-9	-6.971709E-3
5.100000E-9	-6.880923E-3
5.150000E-9	-6.815831E-3
5.200000E-9	-6.750739E-3
5.250000E-9	-6.683934E-3
5.300000E-9	-6.641110E-3
5.350000E-9	-6.630832E-3
5.400000E-9	-6.637684E-3
5.450000E-9	-6.651388E-3
5.500000E-9	-6.680508E-3
5.550000E-9	-6.733609E-3
5.600000E-9	-6.786711E-3
5.650000E-9	-6.820970E-3
5.700000E-9	-6.836386E-3
5.750000E-9	-6.846664E-3
5.800000E-9	-6.853516E-3
5.850000E-9	-6.850090E-3
5.900000E-9	-6.822683E-3
5.950000E-9	-6.764442E-3
6.000000E-9	-6.704489E-3
6.050000E-9	-6.649675E-3
6.100000E-9	-6.596573E-3
6.150000E-9	-6.552037E-3
6.200000E-9	-6.553750E-3
6.250000E-9	-6.586296E-3
6.300000E-9	-6.622268E-3
6.350000E-9	-6.654814E-3
6.400000E-9	-6.707915E-3
6.450000E-9	-6.786711E-3
6.500000E-9	-6.874071E-3
6.550000E-9	-6.937450E-3
6.600000E-9	-6.968283E-3
6.650000E-9	-6.981987E-3
6.700000E-9	-6.976848E-3
6.750000E-9	-6.951154E-3
6.800000E-9	-6.910043E-3
6.850000E-9	-6.865506E-3
6.900000E-9	-6.824396E-3
6.950000E-9	-6.778146E-3
7.000000E-9	-6.733609E-3
7.050000E-9	-6.711341E-3
7.100000E-9	-6.725045E-3
7.150000E-9	-6.747313E-3
7.200000E-9	-6.745600E-3
7.250000E-9	-6.735322E-3
7.300000E-9	-6.747313E-3
