Study Name	Tungsten_temperature_sweep
Sample Name	2024-05-17
Run Name	800C_spot2
Operator	Angus
Date	5/17/2024
Time	23:31
Sign	POS
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	11:32:01 PM
	
Time	Amplitude
0.000000E+0	-5.510563E-3
5.000000E-11	-5.627044E-3
1.000000E-10	-5.748663E-3
1.500000E-10	-5.860005E-3
2.000000E-10	-5.937087E-3
2.500000E-10	-5.981624E-3
3.000000E-10	-6.000467E-3
3.500000E-10	-5.990189E-3
4.000000E-10	-5.966208E-3
4.500000E-10	-5.940513E-3
5.000000E-10	-5.916532E-3
5.500000E-10	-5.889125E-3
6.000000E-10	-5.860005E-3
6.500000E-10	-5.830885E-3
7.000000E-10	-5.800051E-3
7.500000E-10	-5.745237E-3
8.000000E-10	-5.661303E-3
8.500000E-10	-5.584220E-3
9.000000E-10	-5.524267E-3
9.500000E-10	-5.445471E-3
1.000000E-9	-5.339268E-3
1.050000E-9	-5.255333E-3
1.100000E-9	-5.185102E-3
1.150000E-9	-5.108020E-3
1.200000E-9	-5.051492E-3
1.250000E-9	-5.041215E-3
1.300000E-9	-5.084038E-3
1.350000E-9	-5.171399E-3
1.400000E-9	-5.287879E-3
1.450000E-9	-5.404360E-3
1.500000E-9	-5.507137E-3
1.550000E-9	-5.606488E-3
1.600000E-9	-5.683571E-3
1.650000E-9	-5.728108E-3
1.700000E-9	-5.748663E-3
1.750000E-9	-5.738385E-3
1.800000E-9	-5.697274E-3
1.850000E-9	-5.664728E-3
1.900000E-9	-5.661303E-3
1.950000E-9	-5.668154E-3
2.000000E-9	-5.681858E-3
2.050000E-9	-5.704126E-3
2.100000E-9	-5.736672E-3
2.150000E-9	-5.798339E-3
2.200000E-9	-5.889125E-3
2.250000E-9	-5.969634E-3
2.300000E-9	-6.039864E-3
2.350000E-9	-6.113521E-3
2.400000E-9	-6.164910E-3
2.450000E-9	-6.183752E-3
2.500000E-9	-6.195743E-3
2.550000E-9	-6.197456E-3
2.600000E-9	-6.171762E-3
2.650000E-9	-6.122086E-3
2.700000E-9	-6.072411E-3
2.750000E-9	-6.021022E-3
2.800000E-9	-5.986763E-3
2.850000E-9	-5.966208E-3
2.900000E-9	-5.943939E-3
2.950000E-9	-5.921671E-3
3.000000E-9	-5.925097E-3
3.050000E-9	-5.957643E-3
3.100000E-9	-5.986763E-3
3.150000E-9	-6.005605E-3
3.200000E-9	-6.003893E-3
3.250000E-9	-5.986763E-3
3.300000E-9	-5.964495E-3
3.350000E-9	-5.952504E-3
3.400000E-9	-5.937087E-3
3.450000E-9	-5.919958E-3
3.500000E-9	-5.928523E-3
3.550000E-9	-5.959356E-3
3.600000E-9	-5.981624E-3
3.650000E-9	-6.002180E-3
3.700000E-9	-6.029587E-3
3.750000E-9	-6.039864E-3
3.800000E-9	-6.031300E-3
3.850000E-9	-6.019309E-3
