Study Name	Tungsten_temperature_sweep
Sample Name	2024-05-17
Run Name	800C_spot5
Operator	Angus
Date	5/17/2024
Time	23:34
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	11:35:13 PM
	
Time	Amplitude
0.000000E+0	1.531375E-3
5.000000E-11	1.485125E-3
1.000000E-10	1.430311E-3
1.500000E-10	1.389200E-3
2.000000E-10	1.346376E-3
2.500000E-10	1.296701E-3
3.000000E-10	1.274432E-3
3.500000E-10	1.286423E-3
4.000000E-10	1.310404E-3
4.500000E-10	1.334385E-3
5.000000E-10	1.378922E-3
5.500000E-10	1.452579E-3
6.000000E-10	1.517671E-3
6.500000E-10	1.569060E-3
7.000000E-10	1.610170E-3
7.500000E-10	1.641004E-3
8.000000E-10	1.641004E-3
8.500000E-10	1.608457E-3
9.000000E-10	1.560495E-3
9.500000E-10	1.517671E-3
1.000000E-9	1.488551E-3
1.050000E-9	1.474847E-3
1.100000E-9	1.467996E-3
1.150000E-9	1.478273E-3
1.200000E-9	1.509106E-3
1.250000E-9	1.546791E-3
1.300000E-9	1.598180E-3
1.350000E-9	1.671837E-3
1.400000E-9	1.733503E-3
1.450000E-9	1.788317E-3
1.500000E-9	1.853409E-3
1.550000E-9	1.904798E-3
1.600000E-9	1.915076E-3
1.650000E-9	1.913363E-3
1.700000E-9	1.915076E-3
1.750000E-9	1.896233E-3
1.800000E-9	1.868826E-3
1.850000E-9	1.836280E-3
1.900000E-9	1.779752E-3
1.950000E-9	1.711234E-3
2.000000E-9	1.652994E-3
2.050000E-9	1.603319E-3
2.100000E-9	1.555356E-3
2.150000E-9	1.541652E-3
2.200000E-9	1.562208E-3
2.250000E-9	1.610170E-3
2.300000E-9	1.675263E-3
2.350000E-9	1.750632E-3
2.400000E-9	1.822576E-3
2.450000E-9	1.916788E-3
2.500000E-9	2.036695E-3
2.550000E-9	2.146324E-3
2.600000E-9	2.209703E-3
2.650000E-9	2.235397E-3
2.700000E-9	2.243962E-3
2.750000E-9	2.230258E-3
2.800000E-9	2.187435E-3
2.850000E-9	2.105213E-3
2.900000E-9	1.999010E-3
2.950000E-9	1.887668E-3
3.000000E-9	1.796882E-3
3.050000E-9	1.733503E-3
3.100000E-9	1.668411E-3
3.150000E-9	1.593041E-3
3.200000E-9	1.546791E-3
3.250000E-9	1.563921E-3
3.300000E-9	1.611883E-3
3.350000E-9	1.647855E-3
3.400000E-9	1.683827E-3
3.450000E-9	1.721512E-3
3.500000E-9	1.752345E-3
3.550000E-9	1.766049E-3
3.600000E-9	1.766049E-3
3.650000E-9	1.748919E-3
3.700000E-9	1.740355E-3
3.750000E-9	1.778040E-3
3.800000E-9	1.848270E-3
3.850000E-9	1.904798E-3
3.900000E-9	1.928779E-3
3.950000E-9	1.942483E-3
4.000000E-9	1.956186E-3
4.050000E-9	1.949335E-3
4.100000E-9	1.915076E-3
4.150000E-9	1.863687E-3
4.200000E-9	1.832854E-3
4.250000E-9	1.805447E-3
4.300000E-9	1.740355E-3
4.350000E-9	1.646142E-3
4.400000E-9	1.565634E-3
4.450000E-9	1.502255E-3
4.500000E-9	1.428598E-3
4.550000E-9	1.377209E-3
4.600000E-9	1.363506E-3
4.650000E-9	1.353228E-3
4.700000E-9	1.334385E-3
4.750000E-9	1.315543E-3
4.800000E-9	1.293275E-3
4.850000E-9	1.276145E-3
4.900000E-9	1.303552E-3
4.950000E-9	1.353228E-3
5.000000E-9	1.375496E-3
5.050000E-9	1.394339E-3
5.100000E-9	1.432024E-3
5.150000E-9	1.464570E-3
5.200000E-9	1.481699E-3
5.250000E-9	1.497116E-3
5.300000E-9	1.491977E-3
5.350000E-9	1.462857E-3
5.400000E-9	1.445727E-3
5.450000E-9	1.438875E-3
5.500000E-9	1.421746E-3
5.550000E-9	1.402903E-3
5.600000E-9	1.404616E-3
5.650000E-9	1.435450E-3
5.700000E-9	1.490264E-3
5.750000E-9	1.538227E-3
5.800000E-9	1.570773E-3
5.850000E-9	1.611883E-3
5.900000E-9	1.670124E-3
5.950000E-9	1.728364E-3
6.000000E-9	1.778040E-3
6.050000E-9	1.791743E-3
6.100000E-9	1.754058E-3
6.150000E-9	1.700957E-3
6.200000E-9	1.664985E-3
6.250000E-9	1.606745E-3
6.300000E-9	1.521097E-3
6.350000E-9	1.473134E-3
6.400000E-9	1.456005E-3
6.450000E-9	1.430311E-3
6.500000E-9	1.420033E-3
6.550000E-9	1.454292E-3
6.600000E-9	1.505680E-3
6.650000E-9	1.533088E-3
6.700000E-9	1.548504E-3
6.750000E-9	1.572486E-3
6.800000E-9	1.603319E-3
6.850000E-9	1.610170E-3
6.900000E-9	1.577624E-3
6.950000E-9	1.522810E-3
7.000000E-9	1.452579E-3
7.050000E-9	1.360080E-3
7.100000E-9	1.257303E-3
7.150000E-9	1.173368E-3
7.200000E-9	1.121980E-3
7.250000E-9	1.123693E-3
7.300000E-9	1.180220E-3
7.350000E-9	1.248738E-3
7.400000E-9	1.312117E-3
7.450000E-9	1.385774E-3
7.500000E-9	1.479986E-3
7.550000E-9	1.577624E-3
7.600000E-9	1.673550E-3
7.650000E-9	1.764336E-3
7.700000E-9	1.837993E-3
7.750000E-9	1.882529E-3
7.800000E-9	1.897946E-3
7.850000E-9	1.889381E-3
7.900000E-9	1.851696E-3
7.950000E-9	1.738642E-3
8.000000E-9	1.563921E-3
8.050000E-9	1.432024E-3
8.100000E-9	1.366932E-3
8.150000E-9	1.245312E-3
8.200000E-9	1.082582E-3
8.250000E-9	1.031193E-3
8.300000E-9	1.050036E-3
8.350000E-9	9.900825E-4
8.400000E-9	9.164257E-4
8.450000E-9	9.164257E-4
8.500000E-9	9.267034E-4
8.550000E-9	9.746660E-4
8.600000E-9	1.127119E-3
8.650000E-9	1.236747E-3
8.700000E-9	1.243599E-3
8.750000E-9	1.342950E-3
8.800000E-9	1.557069E-3
8.850000E-9	1.654707E-3
8.900000E-9	1.652994E-3
8.950000E-9	1.754058E-3
9.000000E-9	1.863687E-3
9.050000E-9	1.880817E-3
9.100000E-9	1.908224E-3
9.150000E-9	1.889381E-3
9.200000E-9	1.666698E-3
9.250000E-9	1.416607E-3
9.300000E-9	1.354941E-3
9.350000E-9	1.360080E-3
9.400000E-9	1.327534E-3
9.450000E-9	1.372070E-3
9.500000E-9	1.404616E-3
9.550000E-9	1.337811E-3
9.600000E-9	1.380635E-3
9.650000E-9	1.611883E-3
9.700000E-9	1.762623E-3
9.750000E-9	1.810586E-3
9.800000E-9	2.017853E-3
9.850000E-9	2.305628E-3
9.900000E-9	2.406692E-3
9.950000E-9	2.389563E-3
1.000000E-8	2.437525E-3
1.005000E-8	2.530025E-3
1.010000E-8	2.577987E-3
1.015000E-8	2.499192E-3
1.020000E-8	2.249101E-3
1.025000E-8	1.985306E-3
1.030000E-8	1.892807E-3
1.035000E-8	1.855122E-3
1.040000E-8	1.702670E-3
1.045000E-8	1.517671E-3
1.050000E-8	1.390913E-3
1.055000E-8	1.271006E-3
1.060000E-8	1.211053E-3
1.065000E-8	1.267580E-3
1.070000E-8	1.329247E-3
1.075000E-8	1.372070E-3
1.080000E-8	1.534801E-3
1.085000E-8	1.755771E-3
1.090000E-8	1.843132E-3
1.095000E-8	1.853409E-3
1.100000E-8	1.954473E-3
1.105000E-8	2.045260E-3
1.110000E-8	1.990445E-3
1.115000E-8	1.920214E-3
1.120000E-8	1.980168E-3
1.125000E-8	2.019565E-3
1.130000E-8	1.880817E-3
1.135000E-8	1.726651E-3
1.140000E-8	1.735216E-3
1.145000E-8	1.764336E-3
1.150000E-8	1.637578E-3
1.155000E-8	1.490264E-3
1.160000E-8	1.515958E-3
1.165000E-8	1.603319E-3
1.170000E-8	1.551930E-3
1.175000E-8	1.444014E-3
1.180000E-8	1.445727E-3
1.185000E-8	1.467996E-3
1.190000E-8	1.420033E-3
1.195000E-8	1.416607E-3
1.200000E-8	1.500542E-3
1.205000E-8	1.555356E-3
1.210000E-8	1.605032E-3
1.215000E-8	1.760910E-3
1.220000E-8	1.933918E-3
1.225000E-8	2.055537E-3
1.230000E-8	2.255953E-3
1.235000E-8	2.607107E-3
1.240000E-8	3.064465E-3
1.245000E-8	3.701682E-3
1.250000E-8	4.669499E-3
